suite,config,payload_bytes,concurrency,repetitions,partitions,transformer_replicas,batch_size,batch_bytes,batch_timeout_ms,fetch_min_bytes,fetch_max_wait_ms,commit_interval_ms,required_acks,compression,key_mode,broker_message_max_bytes
confirmation,baseline,1024,16,5,16,1,256,1048576,5,65536,250,250,one,none,worker,
confirmation,baseline,16384,16,5,16,1,256,1048576,5,65536,250,250,one,none,worker,
confirmation,fetch-fast,1024,16,5,16,1,256,1048576,5,1024,20,250,one,none,worker,
confirmation,fetch-fast,16384,16,5,16,1,256,1048576,5,1024,20,250,one,none,worker,
confirmation,fetch-fast-lz4,1024,16,5,16,1,256,1048576,5,1024,20,250,one,lz4,worker,
confirmation,fetch-fast-lz4,16384,16,5,16,1,256,1048576,5,1024,20,250,one,lz4,worker,
partitions,p1,1024,16,3,1,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p1,16384,16,3,1,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p4,1024,16,3,4,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p4,16384,16,3,4,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p8,1024,16,3,8,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p8,16384,16,3,8,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p16,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p16,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
