suite,config,payload_bytes,runs,throughput_msg_s_mean,throughput_msg_s_median,throughput_msg_s_stdev,throughput_msg_s_min,throughput_msg_s_max,throughput_mib_s_mean,p95_latency_ms_mean,p95_latency_ms_median,p95_latency_ms_min,p95_latency_ms_max,p99_latency_ms_mean,duration_s_mean,duplicates_total,ordering_violations_total,completion_ratio_min,resource_invalid_runs,kafka_cpu_peak_pct_mean,kafka_memory_peak_mib_mean,transformer_cpu_peak_pct_mean,sink_cpu_peak_pct_mean
confirmation,baseline,1024,5,49603.86000621597,48296.10344888198,29665.23660745633,13218.15679194515,95161.94981791593,48.44126953732028,720.8459272,695.029083,599.572065,903.711186,835.5137668,0.6064088156,0,0,1.0,0,49.480000000000004,356.2,10.7,0.48
confirmation,baseline,16384,5,3918.6866904064373,3769.8128401792046,683.2523385393953,3380.7361848857004,5102.273465678962,61.22947953760058,2581.6188828,2763.282133,2105.376411,2881.932316,3011.3349628,5.2104069392,17,0,1.0,0,37.56,359.6,9.92,0.33999999999999997
confirmation,fetch-fast,1024,5,15336.120323897907,9697.88634353789,11476.453645536485,5657.036356046981,34435.08461157415,14.97668000380655,1535.055191,1292.055433,783.666437,3042.819729,1660.1197361999998,1.8834546252,0,0,1.0,0,89.7,396.2,14.4,0.3
confirmation,fetch-fast,16384,5,4412.511354697247,4803.180602793186,913.2173123201941,3268.065294219694,5314.363150038196,68.94548991714449,3574.6780418000003,3622.243875,2645.154857,4258.813233,4128.5870626000005,4.7062569089999995,0,0,1.0,0,64.26,371.2,13.9,0.36
confirmation,fetch-fast-lz4,1024,5,11343.156224191189,10082.530665671693,5029.134618172853,5632.652575299,17859.725612659204,11.077301000186708,1539.8489542,1397.32751,849.927813,3096.350272,1704.0917568,2.0915845172000003,0,0,1.0,0,93.72,385.8,16.96,0.33999999999999997
confirmation,fetch-fast-lz4,16384,5,4057.0537231101794,3859.169643118307,533.7184892869376,3404.2069950544724,4777.99023347596,63.39146442359655,3420.1428404,3103.817286,3048.907396,4095.32688,3733.8125456000002,4.9978777214,0,0,1.0,0,78.48,370.6,17.279999999999998,0.13999999999999999
partitions,p1,1024,3,13457.655514598431,13837.355032924052,3088.1659133374687,10197.196709149053,16338.41480172219,13.14224171347503,891.5730006666668,775.634031,764.064023,1135.020948,925.0389779999999,1.5435984136666667,0,0,1.0,0,62.800000000000004,356.3333333333333,11.733333333333334,0.4666666666666666
partitions,p1,16384,3,4185.469759449603,4660.432362487303,1003.2187628426793,3032.971638191173,4863.005277670333,65.39796499140004,3241.216711333333,3096.665982,2935.46693,3691.517222,3325.0409263333336,4.99944113,1,0,1.0,0,63.0,343.0,11.533333333333333,0.6
partitions,p16,1024,3,13815.676909445718,15131.36694546944,3390.8073995452587,9964.198440700693,16351.465342167015,13.491871981880584,1245.6541336666667,1072.712318,996.230847,1668.019236,1396.3272643333332,1.5173585523333333,0,0,1.0,0,78.43333333333334,357.3333333333333,14.0,0.4666666666666666
partitions,p16,16384,3,4133.712977122505,4362.034459301457,457.44660259768324,3607.048454462645,4432.056017603415,64.58926526753915,3808.03062,3948.089325,3430.082026,4045.920509,4224.089693000001,4.8807648053333335,0,0,1.0,0,81.73333333333333,363.3333333333333,14.633333333333333,0.13333333333333333
partitions,p4,1024,3,29626.655069493256,20172.749196535286,17347.1871383869,19060.058731093173,49647.15728085131,28.932280341302008,638.340177,655.806318,552.439643,706.77457,667.7626453333334,0.8145313399999999,0,0,1.0,0,67.83333333333333,353.3333333333333,11.133333333333333,0.13333333333333333
partitions,p4,16384,3,4294.432947226971,4073.8948584600457,463.5123799056106,3982.368071734186,4827.0359114866815,67.10051480042142,2467.995895,2404.106585,2295.858025,2704.023075,2545.5344433333335,4.691591266,0,0,1.0,0,69.43333333333334,361.0,11.9,0.3666666666666667
partitions,p8,1024,3,15810.278428001535,16093.512849892291,577.890062880362,15145.41116070831,16191.911273404006,15.439725027345249,869.691989,898.68605,802.322298,908.067619,894.6707756666666,1.266151129,0,0,1.0,0,61.1,360.6666666666667,14.700000000000001,0.0
partitions,p8,16384,3,4358.0213563073075,4230.509450478796,807.3657578159361,3621.9992135614684,5221.555404881657,68.09408369230168,2960.6107166666666,2991.801618,2683.272491,3206.758041,3151.2417273333335,4.693217227,0,0,1.0,0,54.36666666666667,353.6666666666667,11.9,0.4333333333333333
