suite,config,payload_bytes,concurrency,repetitions,partitions,transformer_replicas,batch_size,batch_bytes,batch_timeout_ms,fetch_min_bytes,fetch_max_wait_ms,commit_interval_ms,required_acks,compression,key_mode,broker_message_max_bytes
client,baseline,1024,16,3,16,1,256,1048576,5,65536,250,250,one,none,worker,
client,baseline,16384,16,3,16,1,256,1048576,5,65536,250,250,one,none,worker,
client,fetch-fast,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
client,fetch-fast,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
client,batch-balanced,1024,16,3,16,1,512,1048576,10,65536,250,250,one,none,worker,
client,batch-balanced,16384,16,3,16,1,512,1048576,10,65536,250,250,one,none,worker,
client,batch-large,1024,16,3,16,1,1024,4194304,20,65536,250,250,one,none,worker,8388608
client,batch-large,16384,16,3,16,1,1024,4194304,20,65536,250,250,one,none,worker,8388608
client,combined,1024,16,3,16,1,512,1048576,10,1024,20,250,one,none,worker,
client,combined,16384,16,3,16,1,512,1048576,10,1024,20,250,one,none,worker,
client,combined-lz4,1024,16,3,16,1,512,1048576,10,1024,20,250,one,lz4,worker,
client,combined-lz4,16384,16,3,16,1,512,1048576,10,1024,20,250,one,lz4,worker,
partitions,p1,1024,16,3,1,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p1,16384,16,3,1,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p4,1024,16,3,4,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p4,16384,16,3,4,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p8,1024,16,3,8,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p8,16384,16,3,8,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p16,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
partitions,p16,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
keying,run,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,run,
keying,run,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,run,
keying,worker,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
keying,worker,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
keying,none,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,none,
keying,none,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,none,
topology,transformer-r1,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
topology,transformer-r1,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
topology,transformer-r2,1024,16,3,16,2,256,1048576,5,1024,20,250,one,none,worker,
topology,transformer-r2,16384,16,3,16,2,256,1048576,5,1024,20,250,one,none,worker,
topology,transformer-r4,1024,16,3,16,4,256,1048576,5,1024,20,250,one,none,worker,
topology,transformer-r4,16384,16,3,16,4,256,1048576,5,1024,20,250,one,none,worker,
acks,none,1024,16,3,16,1,256,1048576,5,1024,20,250,none,none,worker,
acks,none,16384,16,3,16,1,256,1048576,5,1024,20,250,none,none,worker,
acks,one,1024,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
acks,one,16384,16,3,16,1,256,1048576,5,1024,20,250,one,none,worker,
acks,all,1024,16,3,16,1,256,1048576,5,1024,20,250,all,none,worker,
acks,all,16384,16,3,16,1,256,1048576,5,1024,20,250,all,none,worker,
