"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","messages_received","bytes_received","duplicates","ordering_violations"
"smoke-test",,,,"bulk","2000","1024","2","0",,"18583.43026837716","18.14788112146207","0.107622757","8.885584","10.451345","11.162795","11.317068","2000","2048000",,
"smoke-streaming-2","client-streaming",,,"bulk","1000","1024","2","0","0","12720.108923819129","12.421981370917118","0.078615679","9.319125","12.187626","12.550524","12.568429","1000","1024000",,
"csv-replay-check-stream-r25-c1","client-streaming","csv-replay","csv-replay[Personen.csv+Aanstellingen.csv]:rows-per-message=25:repeat=10","bulk","10000","1283","1","0","0","82577.83014166441","100.43706098789706","0.121097878","1.442277","3.168467","3.962428","4.324627","10000","12753531",,
"smoke-csv","client-streaming","csv-replay","csv-replay[Personen.csv+Aanstellingen.csv]:rows-per-message=25:repeat=2","bulk","500","1283","4","0","0","9228.945591120424","8.526381968773931","0.05417737","5.734461","8.305175","8.74136","8.743981","500","484376",,
"csv-replay-check-stream-r25-c8","client-streaming","csv-replay","csv-replay[Personen.csv+Aanstellingen.csv]:rows-per-message=25:repeat=10","bulk","10000","1283","8","0","0","69124.87295626006","84.0746126288151","0.144665727","15.788064","23.917143","26.217301","28.954973","10000","12753531",,
"csv-replay-check-stream-r100-c1","client-streaming","csv-replay","csv-replay[Personen.csv+Aanstellingen.csv]:rows-per-message=100:repeat=10","bulk","10000","5134","1","0","0","23909.8372470529","116.82630740227354","0.418237895","1.768319","5.175195","8.919549","15.272283","10000","51234670",,
"csv-replay-check-stream-r100-c8","client-streaming","csv-replay","csv-replay[Personen.csv+Aanstellingen.csv]:rows-per-message=100:repeat=10","bulk","10000","5134","8","0","0","43643.83533400894","213.2489682075775","0.229127434","31.260513","44.704526","52.429013","58.17593","10000","51234670",,
"synthetic-clean-stream-p256-c1","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","116112.40728358965","28.34775568447013","0.172246881","4.24308","16.532958","17.514217","17.719285","20000","5120000",,
"synthetic-clean-stream-p256-c4","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","136462.62324911804","33.31607012917921","0.146560278","26.648425","40.264069","42.64679","43.220229","20000","5120000",,
"synthetic-clean-stream-p256-c8","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","149345.76845939833","36.461369252782795","0.13391742","12.510511","25.081328","28.678253","30.404627","20000","5120000",,
"synthetic-clean-stream-p256-c16","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","141387.25370013446","34.51837248538439","0.141455467","27.929687","36.617888","38.922138","41.287284","20000","5120000",,
"synthetic-clean-stream-p1024-c1","client-streaming","synthetic","synthetic","bulk","20000","1024","1","0","0","112704.60774868747","110.06309350457761","0.177455034","1.701162","4.633493","7.686174","8.612852","20000","20480000",,
"synthetic-clean-stream-p1024-c4","client-streaming","synthetic","synthetic","bulk","20000","1024","4","0","0","102851.1723172038","100.44059796601934","0.194455732","14.312836","22.458908","26.807133","27.290975","20000","20480000",,
"synthetic-clean-stream-p1024-c8","client-streaming","synthetic","synthetic","bulk","20000","1024","8","0","0","81292.7997191041","79.3874997256876","0.246024249","44.952047","61.100249","64.872326","71.770622","20000","20480000",,
