"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","retry_attempts","stream_reconnects","recovery_events","avg_recovery_ms","max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples"
"synthetic-clean-rmqs-p256-c1","rabbitmq-streams","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","232.10752546674905","0.05666687633465553","86.166960592","20293.810149","28438.808625","28623.926979","28692.178861","3.88576099174957","13.763108","10.214489481161722","20000","5120000","0","0","7.60967741935484","10","7","7","31","9.69459459459459","16.9","6.18918918918919","7","37","5.55405405405405","10","6.18918918918919","7","37","37.1567567567568","50.1","466.243243243243","480","37"
"synthetic-clean-rmqs-p256-c4","rabbitmq-streams","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","349.2013949026904","0.08525424680241465","57.273539831","13600.252006","17202.263575","17334.393647","17409.297962","2.587411745637275","3.723683","10.388440337950822","20000","5120000","0","0","7.76153846153846","9.1","7","7","13","7.93076923076923","11.8","5.84615384615385","7","26","4.63461538461538","6.8","5.84615384615385","7","26","34.0076923076923","50.1","466.230769230769","480","26"
"synthetic-clean-rmqs-p256-c8","rabbitmq-streams","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","358.08414348637046","0.08742288659335216","55.852794277","11801.322223","16529.864458","16628.889206","16713.263695","2.513195445822289","4.800216","9.758660819536757","20000","5120000","0","0","7.26363636363637","8.9","7.63636363636364","8","11","7.62","12.1","6.88","8","25","4.384","7.1","5.88","8","25","31.548","50","467.88","483","25"
"synthetic-clean-rmqs-p256-c16","rabbitmq-streams","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","341.8435921690354","0.0834579082443934","58.506289011","14151.701321","16928.143972","17038.46352","17221.584824","2.640917874243707","5.417958","11.130986431933398","20000","5120000","0","0","6.75","7.5","8","8","14","7.32962962962963","11.2","7.37037037037037","9","27","4.25185185185185","6.4","6.66666666666667","8","27","32.5518518518518","50","472.888888888889","489","27"
"synthetic-clean-rmqs-p1024-c1","rabbitmq-streams","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","0","225.5360927360995","0.22025009056259717","88.677602584","21798.629368","28372.965322","28505.91371","28542.733167","4.019343910245511","11.1741","10.682928251221558","20000","20480000","0","0","7.208","10.1","7","7","25","9.22631578947368","14.6","6.07894736842105","7","38","5.13157894736842","8.1","6.07894736842105","7","38","36.1052631578947","50","479.736842105263","507","38"
"synthetic-clean-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","bulk","20000","1024","4","0","0","0","0","500","","","0","0","0","0","0","0","0","339.3693788535435","0.33141540903666356","58.932836155","14103.325037","19142.346631","19234.649184","30734.190875","2.6708737021850877","9.268049","9.222368909478233","20000","20480000","0","0","7.73157894736842","9","7.36842105263158","8","19","8.34074074074074","13.5","5.96296296296296","7","27","5.14814814814815","8.7","5.7037037037037","7","27","35.6111111111111","50","478.296296296296","505","27"
"synthetic-clean-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","bulk","20000","1024","8","0","0","0","0","500","","","0","0","0","0","0","0","0","290.4573869930364","0.2836497919853871","68.856916352","15982.561076","23011.364109","23292.9464","30811.044816","3.1643453530176724","10.353657","11.351679989388007","20000","20480000","0","0","6.8","8.8","7.83333333333333","8","24","8.34","13.6","7.2","8","30","4.97666666666667","8.5","6.33333333333333","8","30","34.8233333333333","50","480.5","510","30"
"synthetic-clean-rmqs-p1024-c16","rabbitmq-streams","synthetic","synthetic","bulk","20000","1024","16","0","0","0","0","500","","","0","0","0","0","0","0","0","383.48044257893724","0.3744926197059934","52.153898294","9979.465704","16924.910327","17049.016444","20333.005405","2.325846572428618","6.502466","9.473644771833449","20000","20480000","0","0","7.25555555555556","8.7","7.77777777777778","8","9","7.22916666666667","12.8","6.83333333333333","8","24","4.17083333333333","7.7","6.25","8","24","31.35","50.1","482.416666666667","511","24"
"synthetic-clean-rmqs-p4096-c1","rabbitmq-streams","synthetic","synthetic","bulk","20000","4096","1","0","0","0","0","500","","","0","0","0","0","0","0","0","238.9638984080128","0.9334527281563","83.69465067","21723.036046","25049.861217","25212.635815","39958.038279","3.7725496262313203","14.070375","9.18786804217745","20000","81920000","0","0","8.47826086956522","10.6","7","7","23","9.36486486486486","15.8","6.05405405405405","7","37","5.11351351351352","8.5","5.89189189189189","7","37","35.9108108108108","50","494.945945945946","511","37"
"synthetic-clean-rmqs-p4096-c4","rabbitmq-streams","synthetic","synthetic","bulk","20000","4096","4","0","0","0","0","500","","","0","0","0","0","0","0","0","349.74292147780875","1.3661832870226904","57.184859998","13283.859001","15939.563479","16061.734072","32680.097806","2.691716553477694","7.4583","9.237881624445059","20000","81920000","0","0","8.74615384615385","9.9","7","7","13","8.47037037037037","13.3","5.96296296296296","7","27","4.7962962962963","7.5","5.7037037037037","7","27","33.4740740740741","50","495.148148148148","511","27"
