"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","retry_attempts","stream_reconnects","recovery_events","avg_recovery_ms","max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples"
"synthetic-continuous-stream-p1024-c4","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1012.7652222632952","0.9890285373664992","19.747913495","0.3223","9.192901","19.431302","22.261402","0.9491455702785107","2.1384","0.9153047053721155","20000","20480000","0","0","22.9","22.9","18","18","5","10.6615384615385","23.1","4.76923076923077","8","13","6.23076923076923","13.5","4.76923076923077","8","13","0.3","0.3","199","199","13"
"synthetic-continuous-stream-p1024-c4-rep1","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.003688320856","0.8974645393758359","21.762698294","0.2882","12.763846","31.336424","7308.998957","0.9493057070353523","1.702891","0.7688028409488237","20000","20480000","0","0","26.1","26.1","7","7","8","10.8","27","4","7","20","6.24","15.6","4","7","20",,,,,"0"
"synthetic-continuous-stream-p1024-c4-rep2","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.03917175684","0.8974991911687891","21.761858052","0.283342","10.142363","25.579209","31.83894","0.9491087101855074","1.660908","0.7103918122067984","20000","20480000","0","0",,,,,"0","9.92","24.5","4","7","20","5.82","14.1","4.4","8","20",,,,,"0"
"synthetic-continuous-stream-p1024-c4-rep3","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.3998252489384","0.8968748293446664","21.777007628","0.273991","15.008303","22.877151","7288.805656","0.9491373711685627","1.625341","0.6757887109788323","20000","20480000","0","0",,,,,"0","10.8857142857143","25.4","4.14285714285714","7","21","6.25714285714286","14.6","4.14285714285714","7","21",,,,,"0"
"synthetic-continuous-stream-p1024-c8","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.0617822015627","1.0254509591812135","19.046498348","0.252633","12.011815","22.784114","26.380839","0.9493035662783099","1.508374","0.6622385105340514","20000","20480000","0","0","24.6","24.6","7","7","4","9.98181818181818","27.1","3.81818181818182","7","11","5.8","15.6","3.81818181818182","7","11","0.3","0.3","199","199","11"
"synthetic-continuous-stream-p1024-c8-rep1","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.9741796479054","0.8974357223124076","21.763397104","0.310292","16.977212","25.896926","30.943998","0.949217432221612","1.775124","0.9713559367060084","20000","20480000","0","0",,,,,"0","9.92","27.6","3.75","7","20","5.825","15.9","3.75","7","20",,,,,"0"
"synthetic-continuous-stream-p1024-c8-rep2","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.9217488204023","0.8973845203324241","21.764638856","0.278667","12.369038","32.67164","44.36207","0.9485660348517455","1.697391","0.7317268871462684","20000","20480000","0","0",,,,,"0","9.765","21.7","4.7","8","20","5.67","12.6","4.25","7","20",,,,,"0"
"synthetic-continuous-stream-p1024-c8-rep3","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.0444740555467","0.8975043691948699","21.7617325","0.284991","9.857738","23.111817","7283.000468","0.9496532326616279","1.659258","0.7148294467100981","20000","20480000","0","0",,,,,"0","9.555","27.3","4.1","8","20","5.565","15.9","3.75","7","20",,,,,"0"
"synthetic-continuous-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","377.03213693346527","0.3681954462240872","53.045876043","11413.130812","16238.386414","16332.522473","16494.082289","2.467510558177916","5.876","9.126517000982133","20000","20480000","0","0","7.98333333333333","9.7","7","7","18","8.196","12.5","6.4","8","25","4.724","7.4","6.32","8","25","31.304","50","225.68","258","25"
"synthetic-continuous-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","355.692708969456","0.3473561611029844","56.228310268","12186.673235","16451.869427","16719.267741","16898.983328","2.530301829741493","7.484124","9.44086554556578","20000","20480000","0","0","7.40909090909091","9","7","7","11","7.71538461538461","11.7","6.92307692307692","8","26","4.5","7.1","5.88461538461539","8","26","30.9615384615385","50","295.230769230769","326","26"
