"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","repeat_count"
"synthetic-clean-kafka-p1024-c1","kafka","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","0","87.0570803688585","0.0850166800477134","229.734329652","1702.876122","2891.880762","5021.754666","28998.915877","11.8035090871044","15.264057","2.44813833563411","20000","20480000","0","0","1","0","0","","","","","","","","0","","6.25714285714286","7.3","7","7","98","6.33076923076923","9.4","6.76923076923077","7","104","2.55961538461538","3.3","6.79807692307692","8","104","0.846153846153847","1","421.019230769231","422","104","0.452884615384615","0.7","54","54","104","22.3730769230769","66.2","366.336538461538","395","104","1"
"synthetic-clean-kafka-p1024-c16","kafka","synthetic","synthetic","bulk","20000","1024","16","0","0","0","0","500","","","0","0","0","0","0","0","0","542.957944065207","0.530232367251179","36.835265454","192.215177","690.77043","899.788473","3175.944457","1.66419134581728","6.789933","7.42412227142174","20000","20480000","0","0","1","0","0","","","","","","","","0","","12.4181818181818","14.6","8","8","11","9.68823529411765","19.5","8.94117647058824","10","17","4.2","9","6.52941176470588","9","17","0.994117647058824","1.1","420.941176470588","422","17","0.405882352941176","0.5","54","54","17","82.9117647058823","98.3","371","413","17","1"
"synthetic-clean-kafka-p1024-c4","kafka","synthetic","synthetic","bulk","20000","1024","4","0","0","0","0","500","","","0","0","0","0","0","0","0","267.728126054865","0.261453248100455","74.702648148","70.669218","281.057491","401.024855","26887.01672","3.44606228161406","11.383349","5.75183683638687","20000","20480000","0","0","1","0","0","","","","","","","","0","","12.2105263157895","13.7","7.31578947368421","8","19","12.5806451612903","20","7.32258064516129","8","31","5.11612903225806","8.5","6.61290322580645","8","31","0.874193548387097","1","421.258064516129","422","31","0.564516129032258","0.7","54","54","31","54.3225806451613","72.2","362.41935483871","398","31","1"
"synthetic-clean-kafka-p1024-c8","kafka","synthetic","synthetic","bulk","20000","1024","8","0","0","0","0","500","","","0","0","0","0","0","0","0","450.163800427941","0.439613086355412","44.428272511","230.633313","452.808725","597.517929","27052.894508","2.05982411300563","10.601341","5.05830353701532","20000","20480000","0","0","1","0","0","","","","","","","","0","","13.5666666666667","16.9","7.66666666666667","8","9","10.535","22.8","7.4","8","20","4.355","9.8","6.6","9","20","0.92","1","421.3","422","20","0.38","0.5","54","54","20","75.425","90.3","358.2","412","20","1"
"synthetic-clean-kafka-p16384-c1","kafka","synthetic","synthetic","bulk","20000","16384","1","0","0","0","0","500","","","0","0","0","0","0","0","0","74.5178963075533","1.16434212980552","268.391903033","887.285299","1929.692767","4204.694384","28379.908823","12.4268698025901","17.164948","3.06091088254197","20000","327680000","0","0","1","0","0","","","","","","","","0","","7.16354166666667","8.8","7","7","96","8.35714285714286","10.9","8.34285714285714","10","105","3.26952380952381","4.4","6.8","7","105","0.996190476190477","1.5","421.32380952381","424","105","0.539047619047618","0.8","54","54","105","27.6390476190477","77.6","644.657142857143","996","105","1"
"synthetic-clean-kafka-p16384-c16","kafka","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","440.560655483855","6.88376024193524","45.396700207","325.857106","844.816909","1275.806142","27408.246592","2.08888213430672","7.628133","8.41837172108551","20000","327680000","0","0","1","0","0","","","","","","","","0","","17.0666666666667","21","8.33333333333333","9","9","11.525","23.9","13.3","21","20","6.24","13","7.1","10","20","1.05","1.3","420.45","421","20","0.63","0.8","54","54","20","84.07","99.9","563.7","952","20","1"
"synthetic-clean-kafka-p16384-c4","kafka","synthetic","synthetic","bulk","20000","16384","4","0","0","0","0","500","","","0","0","0","0","0","0","0","265.095667579774","4.14211980593397","75.444461928","154.263441","281.738492","344.844297","26776.586722","3.59217744067203","11.478775","6.13324544223804","20000","327680000","0","0","1","0","0","","","","","","","","0","","14.25","17.2","7","7","28","14.9727272727273","22.6","8.03030303030303","9","33","6.32121212121212","9.6","6.42424242424242","9","33","0.978787878787879","1.2","420.181818181818","421","33","0.430303030303031","0.6","54","54","33","60.0454545454545","91.6","585.909090909091","976","33","1"
"synthetic-clean-kafka-p16384-c8","kafka","synthetic","synthetic","bulk","20000","16384","8","0","0","0","0","500","","","0","0","0","0","0","0","0","408.020158572306","6.37531497769228","49.017185989","78.171403","306.85259","508.077687","26671.459331","2.28963986869345","10.290407","5.70529137698298","20000","327680000","0","0","1","0","0","","","","","","","","0","","16.62","22.3","7","7","15","13.7714285714286","28.4","8.71428571428571","10","21","6.61428571428571","13.5","6","8","21","1.05714285714286","1.4","421.428571428571","422","21","0.528571428571429","0.8","54","54","21","82.0285714285714","96.8","531.571428571429","913","21","1"
"synthetic-clean-kafka-p256-c1","kafka","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","77.4233157589","0.0189021766989502","258.320117189","770.032551","1416.855291","4050.0532","28130.077288","11.8107324882744","15.142233","2.42083088886238","20000","5120000","0","0","1","0","0","","","","","","","","0","","6.39062500000001","7.6","7.07291666666667","8","96","7.26116504854369","9.1","6.78640776699029","8","103","2.5504854368932","3.4","6.61165048543689","8","103","0.838834951456311","1","421.864077669903","423","103","0.424271844660194","0.7","60.5533980582524","68","103","20.8436893203884","54.5","359.223300970874","371","103","1"
"synthetic-clean-kafka-p256-c16","kafka","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","532.102644181152","0.129907872114539","37.586732971","261.635006","584.197713","905.688821","27470.711534","1.71256820731036","7.995991","6.03767885876463","20000","5120000","0","0","1","0","0","","","","","","","","0","","13.4666666666667","20.6","8","8","9","10.3823529411765","26.7","8.64705882352941","10","17","8.63529411764706","21.1","7.11764705882353","9","17","0.988235294117647","1.2","421.823529411765","423","17","0.505882352941176","0.6","54","54","17","200.341176470588","457.8","335.235294117647","391","17","1"
