"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples"
"synthetic-clean-stream-p256-c1","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","69962.93514116532","17.080794712198564","0.285865651","5.617515","13.520097","37.283851","37.887934","0.008804728486423349","0.002292","0.23922166949742155","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","1","1","3","0","0","2","2","3","0.3","0.3","197","197","3",,,,,"0",,,,,"0"
"synthetic-clean-stream-p256-c1-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","83355.32906810506","20.350422135767836","0.239936669","5.61789","43.181557","44.018291","44.180816","0.009614097304864363","0.002109","0.38103695912623986","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","2","0.2","0.2","2","2","2","0.4","0.4","201","201","2","0.1","0.1","17","17","2","19.3","19.3","403","403","2"
"synthetic-clean-stream-p256-c4","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","115743.02679948187","28.257574902217254","0.172796587","9.907882","77.574278","82.500445","83.384386","0.006047005900294992","0.002016","0.41923718586075853","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","2","0","0","1","1","2","0.3","0.3","197","197","2",,,,,"0",,,,,"0"
"synthetic-clean-stream-p256-c4-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","115057.7994581445","28.09028307083606","0.173825678","12.789898","52.261884","77.850754","78.661455","0.006605828541426663","0.002291","0.34128153743084794","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","3","0.3","0.3","2","2","3","0.4","0.4","201","201","3","0.1","0.1","17","17","3","2.3","2.3","547","547","3"
"synthetic-clean-stream-p256-c8","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","119151.74987540749","29.089782684425657","0.167853179","26.126369","86.827656","91.093637","94.139078","0.005944365868293152","0.002108","0.43264408265148496","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","3","0","0","2","2","3","0.3","0.3","197","197","3",,,,,"0",,,,,"0"
"synthetic-clean-stream-p256-c8-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","89318.30430199647","21.806226636229606","0.223918268","22.740784","77.536704","79.883465","81.131507","0.009142173208660249","0.002933","0.5373546049489767","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","3","0.4","0.4","2","2","3","0.3","0.3","201","201","3","0.1","0.1","17","17","3","50.2","50.2","316","316","3"
"synthetic-clean-stream-p256-c16","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","83871.55386882034","20.476453581254965","0.238459872","75.857541","90.138379","142.919118","154.569765","0.00748223786189273","0.002567","0.48891710434214763","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","1","1","3","0","0","1","1","3","0.3","0.3","197","197","3",,,,,"0",,,,,"0"
"synthetic-clean-stream-p256-c16-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","99907.53557582457","24.391488177691546","0.2001851","34.472481","97.642801","99.126428","100.634988","0.00794359317965866","0.003025","0.5560110471869832","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","3","0.3","0.3","2","2","3","0.3","0.3","201","201","3","0.1","0.1","17","17","3","1.9","1.9","461","461","3"
"synthetic-clean-stream-p1024-c1","client-streaming","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","0","55563.098091779575","54.26083798025349","0.359951131","1.820042","23.328431","34.535138","35.243905","0.01518969088454461","0.004767","0.43470847927381145","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","3","0","0","2","2","3","0.3","0.3","197","197","3",,,,,"0",,,,,"0"
"synthetic-clean-stream-p1024-c1-rep1","client-streaming","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","0","54926.4179889204","53.63908006730508","0.364123508","2.179835","7.513466","52.230809","52.673284","0.016187859192961417","0.004491","0.5690294197927689","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","3","0.4","0.4","2","2","3","0.3","0.3","201","201","3","0.1","0.1","17","17","3",,,,,"0"
