"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples"
"csv-replay-check-stream-r25-c1","client-streaming","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","1","0","0","0","0","500","","","0","0","0","0","0","0","0","32291.285686678053","43.95214031438585","0.309681073","5.215558","54.2718","60.993075","61.340766","0.022840465546554747","0.00715","0.6947616148711762","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.3","0.3","2","2","3","0.3","0.3","1","1","3","1","1","507","507","3",,,,,"0",,,,,"0"
"csv-replay-check-stream-r25-c8","client-streaming","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","8","0","0","0","0","500","","","0","0","0","0","0","0","0","31902.590722298486","43.42308192446383","0.313454167","31.805309","76.249984","79.1934","84.104442","0.02055426292629239","0.011825","0.5768138473753462","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.2","0.2","2","2","3","0.2","0.2","1","1","3","0.8","0.8","508","508","3",,,,,"0",,,,,"0"
"csv-replay-check-stream-r100-c1","client-streaming","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","0","13648.191469277082","73.27799587402001","0.73269781","2.319075","25.214842","39.4108","42.537734","0.05733399349935129","0.066733","0.8867404129505609","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","3","0","0","1","1","3","0.9","0.9","507","507","3",,,,,"0",,,,,"0"
"csv-replay-check-stream-r100-c8","client-streaming","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","8","0","0","0","0","500","","","0","0","0","0","0","0","0","16698.519287022722","89.6553972129692","0.598855493","8.605484","55.291225","58.822317","65.594192","0.043395370437043494","0.059308","0.9359316666104396","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","3","0","0","2","2","3","0.8","0.8","505","505","3",,,,,"0",,,,,"0"
"csv-replay-check-kafka-r25-c1","kafka","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","1","0","0","0","0","500","","","0","0","0","0","0","0","0","10183.313108475808","13.860656121032195","0.981998677","101.997479","181.947571","216.96579","217.020057","0.06921241724172753","0.005684","1.5891366739093302","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","3.7","3.7","7","7","3","0","0","3","3","3","0.3","0.3","197","197","3","0.2","0.2","197","197","3","65.1","65.1","328","328","3"
"csv-replay-check-kafka-r25-c8","kafka","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","8","0","0","0","0","500","","","0","0","0","0","0","0","0","5866.503267811569","7.984983233047073","1.704592931","771.111211","1102.058153","1363.443584","1363.841324","0.08870897549755563","0.006142","2.8887894321726653","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","10.9","10.9","8","8","3","0","0","2","2","3","0.4","0.4","197","197","3","0.3","0.3","197","197","3","67.2","67.2","341","341","3"
"csv-replay-check-kafka-r100-c1","kafka","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","0","4102.586972698168","22.027046728859258","2.437486412","136.939178","319.350978","375.383417","376.190818","0.211311413741372","0.050325","3.149042533179503","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","4.2","4.2","7","7","4","0","0","2","2","4","0.4","0.4","197","197","4","0.2","0.2","197","197","4","22.3","22.3","333","333","4"
"csv-replay-check-kafka-r100-c8","kafka","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","8","0","0","0","0","500","","","0","0","0","0","0","0","0","4813.804907249814","25.845620419807418","2.077358803","802.828366","1630.164913","1897.724135","1898.413194","0.15369188008801152","0.019709","3.8893937964205634","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","8.9","8.9","8","8","3","0","0","2","2","3","0.3","0.3","197","197","3","0.2","0.2","197","197","3","41.5","41.5","331","331","3"
"csv-replay-check-nats-r25-c1","nats-jetstream","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","1","0","0","0","0","500","","","0","0","0","0","0","0","0","12840.685817793676","17.47764490620602","0.778774603","304.705678","469.994157","521.086987","524.961647","0.07090458835883215","0.008433","0.8795459402120491","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","2.3","2.3","6","6","3","0","0","2","2","3","0.3","0.3","145","145","3","2.5","2.5","9","9","3","0.8","0.8","550","550","3"
"csv-replay-check-nats-r25-c8","nats-jetstream","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","8","0","0","0","0","500","","","0","0","0","0","0","0","0","2073.2191634469827","2.8218888668124014","4.823416731","297.633132","4619.906071","4635.217713","4650.053696","0.47632939333932667","0.005775","41.885730149958206","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","4.6","4.6","8","8","4","0.4","0.4","2","2","4","0.3","0.3","145","145","4","3","3","8","8","4","0.8","0.8","550","550","4"
"csv-replay-check-nats-r100-c1","nats-jetstream","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","0","8488.341217076886","45.57443629673673","1.178086477","365.869654","618.006668","633.695519","635.64252","0.11342110561055743","0.025208","1.5295131361917012","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","1.3","1.3","5","5","3","0","0","2","2","3","0.3","0.3","145","145","3","1.5","1.5","4","4","3","0.9","0.9","550","550","3"
