"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","36820.74902524017","8.989440679990276","0.543172003","0.919438","2.9375","7.382102","29.389123","0.023753996499820365","0.000729","0.5347430175453712","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c1-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","49917.85343326535","12.186975935855799","0.400658254","0.705204","1.523343","25.14212","50.960108","0.017567168708430565","0.000641","0.5165592221351338","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","3","3","5","0","0","2","2","5","90.6","90.6","132","132","5",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","38345.97813691786","9.361811068583462","0.521567084","3.891737","15.210851","80.800934","87.107824","0.019757717785884508","0.000729","0.34033286882070174","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c4-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","86507.2459810096","21.119933100832423","0.231194506","0.903482","3.177771","58.664731","58.876118","0.009830231161559132","0.000641","0.6198454466383665","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0","0","3","3","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c8-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","65624.24198873609","16.02154345428127","0.304765425","2.386913","41.219836","71.768982","71.915647","0.010895326616329049","0.000729","0.41212897677246846","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.7","0.7","2","2","5","0.7","0.7","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c8-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","118227.82869095015","28.8642159890015","0.16916491","1.452391","37.352693","47.256345","47.936065","0.006840102505125063","0.000642","0.3416355251817643","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c16-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","80346.91193332865","19.615945296222815","0.248920581","3.543202","51.063549","70.121956","70.350882","0.009886581979098898","0.000729","0.5653480201134136","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.6","0.6","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p256-c16-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","110377.88127040946","26.94772491953356","0.181195723","2.958959","48.9941","49.799131","50.410924","0.006386212060604797","0.000642","0.33073932977265197","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p1024-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","35027.51560217492","34.206558205248946","0.57097969","1.079312","2.109979","4.493885","36.726679","0.026407039201954988","0.000729","0.6429031898725652","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.6","0.6","3","3","5","0.7","0.7","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-20260615-synthetic-clean-bunary-p1024-c1-rep2","batched-unary","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","37279.35074580976","36.40561596270484","0.53649003","1.135402","2.886357","16.817361","29.384617","0.022904029601473808","0.000733","0.3431950552602116","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
