transport,short,payload_bytes,concurrency,rep,sent,received,duplicates,producer_duration_s,sink_duration_s,msg_per_s,mib_per_s
rabbitmq-streams,rmqs,256,8,1,,20000,0,,0.843197548,23719.234060201514,5.790828627978885
client-streaming,stream,1024,16,2,,20000,0,,0.353574931,56565.09623981232,55.23935179669172
client-streaming,stream,16384,4,2,,20000,0,,1.427447333,14011.024811659374,218.92226268217772
client-streaming,stream,16384,16,1,,20000,0,,1.4737832069999999,13570.516955958232,212.03932743684737
rabbitmq-streams,rmqs,1024,1,1,,20000,0,,1.290810573,15494.140207976125,15.130996296851684
client-streaming,stream,1024,8,3,,20000,0,,0.211217953,94688.92069037331,92.46964911169269
kafka,kafka,16384,1,2,,20000,0,,5.246054917,3812.3886075209375,59.56857199251465
rabbitmq-streams,rmqs,16384,16,1,,20000,0,,7.171700303,2788.7389538062243,43.574046153222255
nats-jetstream,nats,256,16,2,,20000,0,,0.694246737,28808.201658137576,7.033252357943744
batched-unary,bunary,4096,1,2,,20000,0,,0.782199856,25568.912914757682,99.8785660732722
unary,unary,1024,4,1,,20000,0,,9.993310048,2001.33888610838,1.9544325059652148
client-streaming,stream,16384,1,2,,20000,0,,1.717417013,11645.395293402746,181.9593014594179
kafka,kafka,1024,4,2,,20000,0,,1.35310054,14780.86765082512,14.434441065258905
batched-unary,bunary,16384,1,1,,20000,0,,1.999931801,10000.341006628156,156.25532822856493
nats-jetstream,nats,256,1,2,,20000,0,,1.274136321,15696.907521090907,3.8322528127663347
nats-jetstream,nats,16384,4,3,,20000,0,,2.460940037,8126.975748820329,126.98399607531763
kafka,kafka,1024,8,3,,20000,0,,1.088246833,18378.18350903485,17.947444833041846
client-streaming,stream,1024,8,2,,20000,0,,0.234551493,85269.12254615237,83.27062748647693
nats-jetstream,nats,4096,1,2,,20000,0,,1.711615942,11684.864290659896,45.64400113539022
kafka,kafka,256,4,2,,20000,0,,1.1539569219999999,17331.66950923667,4.231364626278484
nats-jetstream,nats,256,4,2,,20000,0,,0.782063543,25573.369554192348,6.243498426316491
rabbitmq-streams,rmqs,4096,1,1,,20000,0,,2.276495821,8785.432336622769,34.31809506493269
batched-unary,bunary,16384,16,1,,20000,0,,1.5856815819999999,12612.872740045486,197.07613656321072
rabbitmq-streams,rmqs,1024,8,3,,20000,0,,1.082059555,18483.27100628024,18.050069342070547
kafka,kafka,4096,1,1,,20000,0,,1.778616747,11244.693402181263,43.92458360227056
nats-jetstream,nats,16384,1,3,,20000,0,,3.431173913,5828.908853679549,91.07670083874295
unary,unary,256,1,1,,20000,0,,21.767278104,918.8103310135391,0.22431892847010232
unary,unary,256,4,3,,20000,0,,6.907596217,2895.3632163354923,0.7068757852381573
nats-jetstream,nats,256,4,3,,20000,0,,0.79659583,25106.834917777564,6.129598368598038
client-streaming,stream,256,1,1,,20000,0,,0.19783906,101092.27166768786,24.680730387619107
batched-unary,bunary,16384,4,1,,20000,0,,1.483541038,13481.258345884733,210.64466165444895
batched-unary,bunary,256,1,1,,20000,0,,0.39310063,50877.55773884158,12.42127874483437
client-streaming,stream,256,16,1,,20000,0,,0.188331488,106195.73079569149,25.926692088791867
client-streaming,stream,1024,4,1,,20000,0,,0.339842099,58850.86061688902,57.47154357118068
