transport,payload_bytes,concurrency,reps,median_msg_per_s,mean_msg_per_s,median_mib_per_s,median_duplicates
batched-unary,256,1,3,49989.67763146588,48796.07497216775,12.2045111404946,0.0
batched-unary,256,4,3,87773.50069212037,78150.89673620579,21.4290773174122,0.0
batched-unary,256,8,3,115795.29251954942,113814.88521285307,28.27033508778062,0.0
batched-unary,256,16,3,121702.76258029744,120306.2167617313,29.71258852058043,0.0
batched-unary,1024,1,3,41258.21046897839,38232.88939467704,40.29122116111171,0.0
batched-unary,1024,4,3,80047.24900938927,78579.7566091942,78.17114161073171,0.0
batched-unary,1024,8,3,75853.85038392364,74770.7475469988,74.07602576555043,0.0
batched-unary,1024,16,3,77395.85575918564,77570.71661951166,75.58189038982972,0.0
batched-unary,4096,1,3,25744.084922877937,25699.428639164806,100.56283172999194,0.0
batched-unary,4096,4,3,36526.2894580561,36966.97205873829,142.68081819553163,0.0
batched-unary,4096,8,3,42138.675756675715,40782.6004481137,164.6042021745145,0.0
batched-unary,4096,16,3,40223.49048183802,41311.01412462241,157.12300969467975,0.0
batched-unary,16384,1,3,9693.744417826985,9794.755255093742,151.46475652854664,0.0
batched-unary,16384,4,3,12681.785098672462,12937.195639778727,198.15289216675723,0.0
batched-unary,16384,8,3,13760.909742990441,13405.284441539474,215.01421473422565,0.0
batched-unary,16384,16,3,12612.872740045486,12691.819235477025,197.07613656321072,0.0
client-streaming,256,1,3,101092.27166768786,101241.20567900043,24.680730387619107,0.0
client-streaming,256,4,3,79969.78933286498,84825.22263459381,19.52387434884399,0.0
client-streaming,256,8,3,112601.78356721098,124844.10666812077,27.490669816213618,0.0
client-streaming,256,16,3,79101.82034567006,87665.45146262516,19.311967857829604,0.0
client-streaming,1024,1,3,69874.86316885935,73789.6396577222,68.2371710633392,0.0
client-streaming,1024,4,3,58850.86061688902,71582.88739489538,57.47154357118068,0.0
client-streaming,1024,8,3,85269.12254615237,78575.14762594232,83.27062748647693,0.0
client-streaming,1024,16,3,59346.80115415403,64115.734626207064,57.95586050210355,0.0
client-streaming,4096,1,3,31355.962232038237,28960.45495428214,122.48422746889936,0.0
client-streaming,4096,4,3,33665.33661879189,34650.619553794604,131.5052211671558,0.0
client-streaming,4096,8,3,28244.721634188303,29424.282384680355,110.33094388354806,0.0
client-streaming,4096,16,3,31103.449681737995,28966.574055961566,121.49785031928904,0.0
client-streaming,16384,1,3,10945.959651618696,10874.160312379516,171.03061955654212,0.0
client-streaming,16384,4,3,14011.024811659374,14067.16352605983,218.92226268217772,0.0
client-streaming,16384,8,3,14573.942925941526,14457.65226148972,227.71785821783635,0.0
client-streaming,16384,16,3,13570.516955958232,13534.453660041294,212.03932743684737,0.0
kafka,256,1,3,22826.493242049473,22811.773507772374,5.572874326672235,0.0
kafka,256,4,3,17331.66950923667,17764.274096290283,4.231364626278484,0.0
kafka,256,8,3,16756.538517787583,16348.923852268063,4.090951786569234,0.0
kafka,256,16,3,16530.0673966718,17790.61593982903,4.035660985515576,0.0
kafka,1024,1,3,19529.668077813756,18693.47792491826,19.071941482239996,0.0
kafka,1024,4,3,14780.86765082512,15097.260783684824,14.434441065258905,0.0
kafka,1024,8,3,18343.382896285668,18229.267239695488,17.913459859653972,0.0
kafka,1024,16,3,13505.538903432422,12958.20804110604,13.189002835383224,0.0
kafka,4096,1,3,11244.693402181263,11091.246031993393,43.92458360227056,0.0
kafka,4096,4,3,11438.085026379902,11408.650801664378,44.68001963429649,0.0
kafka,4096,8,3,11646.27180670789,11715.081663455554,45.49324924495269,0.0
kafka,4096,16,3,10838.015988457948,9350.227224873917,42.33599995491386,0.0
kafka,16384,1,3,3812.3886075209375,3143.800191000229,59.56857199251465,0.0
kafka,16384,4,3,3760.3556481198016,3701.385133586581,58.7555570018719,0.0
kafka,16384,8,3,4073.0248677708514,4034.8709456194483,63.64101355891955,0.0
kafka,16384,16,3,4065.7841699436567,2999.041482334101,63.527877655369636,0.0
nats-jetstream,256,1,3,21576.173639444278,19762.040890102842,5.267620517442451,0.0
nats-jetstream,256,4,3,25106.834917777564,25159.177930555677,6.129598368598038,0.0
nats-jetstream,256,8,3,25608.128978906254,25785.65587270731,6.251984613990785,0.0
nats-jetstream,256,16,3,28736.797097691546,27766.856154270357,7.0158196039286,0.0
nats-jetstream,1024,1,3,17857.310891249537,17286.54982134795,17.438780167235876,0.0
nats-jetstream,1024,4,3,20512.97887301741,20615.562962205793,20.032205930681066,0.0
nats-jetstream,1024,8,3,21873.25801373179,19307.703559008238,21.36060352903495,0.0
nats-jetstream,1024,16,3,23625.85991839718,22682.67524969749,23.072128826559744,0.0
nats-jetstream,4096,1,3,11684.864290659896,11506.2598112191,45.64400113539022,0.0
nats-jetstream,4096,4,3,14757.737036767077,13891.848348895366,57.647410299871396,0.0
nats-jetstream,4096,8,3,16839.452783458404,16728.412658341837,65.77911243538439,0.0
nats-jetstream,4096,16,3,10209.125768972219,10178.88148964237,39.87939753504773,892.0
nats-jetstream,16384,1,3,5828.908853679549,5806.710164546016,91.07670083874295,0.0
nats-jetstream,16384,4,3,7836.126039387235,7398.609131267708,122.43946936542555,0.0
nats-jetstream,16384,8,3,6764.274399932754,6896.457037277209,105.69178749894928,1495.0
nats-jetstream,16384,16,3,4441.6457989596865,4876.204745685522,69.4007156087451,2254.0
rabbitmq-streams,256,1,3,22002.290213987915,22118.317610401078,5.371652884274393,0.0
rabbitmq-streams,256,4,3,26430.695740992312,26651.774413268744,6.452806577390701,0.0
rabbitmq-streams,256,8,3,25123.936315032213,24999.108893720073,6.1337735144121615,0.0
rabbitmq-streams,256,16,3,21411.259721573715,20792.213401946217,5.227358330462333,0.0
rabbitmq-streams,1024,1,3,15749.167407862515,15943.499201618364,15.380046296740737,0.0
rabbitmq-streams,1024,4,3,19865.90610720576,17443.363394175987,19.400298932818124,0.0
rabbitmq-streams,1024,8,3,18483.27100628024,18319.382889412544,18.050069342070547,0.0
rabbitmq-streams,1024,16,3,18751.67273710662,18593.27287566881,18.312180407330683,0.0
rabbitmq-streams,4096,1,3,8785.432336622769,8827.872895861361,34.31809506493269,0.0
rabbitmq-streams,4096,4,3,10529.552640457798,10408.736989910709,41.13106500178827,0.0
rabbitmq-streams,4096,8,3,10977.683991495867,8855.686371072596,42.88157809178073,0.0
rabbitmq-streams,4096,16,3,10605.335856690588,9986.689506347033,41.42709319019761,0.0
rabbitmq-streams,16384,1,3,3558.2917022203687,3265.4565406182214,55.59830784719326,0.0
rabbitmq-streams,16384,4,3,4713.676244701245,4721.08465137776,73.65119132345696,0.0
rabbitmq-streams,16384,8,3,4627.769791082688,4088.3371717405184,72.308902985667,0.0
rabbitmq-streams,16384,16,3,2844.4679129987653,3456.1258760010837,44.44481114060571,0.0
unary,256,1,3,867.3129040121984,882.0456010732863,0.21174631445610312,0.0
unary,256,4,3,2895.3632163354923,2873.9045982234607,0.7068757852381573,0.0
unary,256,8,3,4559.234778691274,4533.119504124516,1.1130944283914244,0.0
unary,256,16,3,6407.9814597693,6420.629785209947,1.5644485985764893,0.0
unary,1024,1,3,1023.9625716613455,991.1413589208073,0.9999634488880327,0.0
unary,1024,4,3,2743.837522840129,2499.3665250514914,2.6795288308985636,0.0
unary,1024,8,3,4144.457304826703,4150.94230607773,4.047321586744827,0.0
unary,1024,16,3,5614.725490126197,5626.157383439447,5.483130361451364,0.0
unary,4096,1,3,1002.5360834994005,986.376180687852,3.9161565761695334,0.0
unary,4096,4,3,2523.0661880513553,2350.125374959139,9.855727297075607,0.0
unary,4096,8,3,3843.8652095472867,3820.369731153355,15.015098474794089,0.0
unary,4096,16,3,5178.461183109158,4914.809922197534,20.228363996520148,0.0
unary,16384,1,3,785.538114298976,783.7093716372384,12.2740330359215,0.0
unary,16384,4,3,2150.1233444810587,2122.291473714512,33.59567725751654,0.0
unary,16384,8,3,2118.462036926367,2113.5714098390395,33.100969326974486,0.0
unary,16384,16,3,3798.003284202943,3803.251461653768,59.34380131567099,0.0
