"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-bunary-p1024-c8-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3471.914297178785","3.3905413058386573","5.760510856","114.36516","215.737515","233.838924","284.552539","0.2840048287914096","1.136786","0.5320328464169446","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.216666666666667","0.4","3","3","24","0.216666666666667","0.4","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-bunary-p1024-c8-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3539.2420350657344","3.4562910498688812","5.650927459","113.187867","212.461749","231.063966","283.677005","0.27873897764886885","1.180744","0.5595974809419907","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.216666666666667","0.4","2","2","24","2.78333333333333","5.6","7.5","14","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-bunary-p1024-c8-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3486.8382855694545","3.4051155132514204","5.73585534","114.07041","215.16165","227.98107","247.83813","0.2846707605379887","1.14246","0.5378765410487396","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","1.2125","1.9","14.4583333333333","25","24","0.445833333333334","0.5","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-bunary-p1024-c8-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3520.083714518256","3.4375817524592343","5.681683057","113.172811","212.738499","224.186939","252.487129","0.2817320211510439","1.188254","0.5695649467070011","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.9","1.4","13","24","24","2.85","5.3","9","16","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-bunary-p1024-c8-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3483.4905521448527","3.4018462423289577","5.74136766","115.03071","215.44956","231.62922","272.82555","0.2834431846591941","1.14579","0.5431439526393033","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","1","14.5","27","24","1.3","2.6","8","13","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-stream-p1024-c8-rep1","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3353.328079035982","3.274734452183576","5.964224057","1544.83407","1899.722627","1950.582887","1995.569117","0.29643625316261346","2.14479","0.7144245806392747","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","10.9","21.3","19","36","24","4.7","8.9","16","30","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-stream-p1024-c8-rep2","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3255.566223069399","3.1792638897162098","6.14332458","1536.17238","2056.66776","2179.23084","2293.22718","0.30531813040647376","2.14983","0.7241918723648111","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","24","3.4","6.8","29.5","57","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-stream-p1024-c8-rep3","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3406.582278674196","3.3267405065177695","5.87098692","1477.4472","1805.01822","1869.61482","1909.01448","0.2911906910345079","2.13723","0.6748290084552266","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","2.775","4.7","12.2916666666667","21","24","1.475","2.3","13.9166666666667","24","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-stream-p1024-c8-rep4","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3274.778798393701","3.1980261703063486","6.10728273","1547.00937","2058.20091","2121.10533","2155.95684","0.302530623531136","2.13993","0.7533041434421422","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","24","3.45","6.9","19.5","37","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-stream-p1024-c8-rep5","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3379.9649030731202","3.300746975657344","5.917221206","1503.477523","1919.98957","2076.106574","2133.341584","0.29361279548977304","2.134199","0.7117693693695201","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","4.90416666666667","10.7","4.75","8","24","3.39166666666667","7.4","18.9583333333333","39","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-kafka-p1024-c8-rep1","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1338.2632489913974","1.3068977040931615","14.944742759","2499.32727","10507.861158","11551.393457","11738.683907","0.7139095308362018","2.24433","1.1361463739291595","20000","20480000","318","0","1","0","0.0159",,,,,,,,,,"0",,"0",,"True","5.5","5.5","7","7","5","7.86666666666666","10.6","10.3333333333333","15","18","2.76666666666667","7.5","8","18","18",,,,,"0",,,,,"0","43.4333333333333","47","405.666666666667","429","18","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-kafka-p1024-c8-rep2","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1691.925629249731","1.6522711223141904","11.820850547","2299.804507","7243.146654","8933.218159","9100.575359","0.5751074479723682","2.21169","0.8370318497961404","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","7.80689655172414","8.1","11.2758620689655","15","29","1.74166666666667","3.8","10.25","20","24",,,,,"0",,,,,"0","12.8724137931035","18.8","420","434","29","False","producer","producer"
