"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","expected_messages_min","expected_messages_max","payload_bytes","payload_bytes_min","payload_bytes_max","concurrency","concurrency_min","concurrency_max","target_messages_per_second","target_messages_per_second_min","target_messages_per_second_max","transformer_work_iterations","transformer_work_iterations_min","transformer_work_iterations_max","sink_process_delay_ms","sink_process_delay_ms_min","sink_process_delay_ms_max","max_retry_attempts","max_retry_attempts_min","max_retry_attempts_max","retry_backoff_ms","retry_backoff_ms_min","retry_backoff_ms_max","failure_action","failure_target","failure_after_seconds","failure_after_seconds_min","failure_after_seconds_max","producer_retry_attempts","producer_retry_attempts_min","producer_retry_attempts_max","producer_stream_reconnects","producer_stream_reconnects_min","producer_stream_reconnects_max","producer_recovery_events","producer_recovery_events_min","producer_recovery_events_max","producer_avg_recovery_ms","producer_avg_recovery_ms_min","producer_avg_recovery_ms_max","producer_max_recovery_ms","producer_max_recovery_ms_min","producer_max_recovery_ms_max","unary_acknowledged_requests","unary_acknowledged_requests_min","unary_acknowledged_requests_max","throughput_messages_per_second","throughput_messages_per_second_min","throughput_messages_per_second_max","throughput_megabytes_per_second","throughput_megabytes_per_second_min","throughput_megabytes_per_second_max","duration_seconds","duration_seconds_min","duration_seconds_max","p50_latency_ms","p50_latency_ms_min","p50_latency_ms_max","p95_latency_ms","p95_latency_ms_min","p95_latency_ms_max","p99_latency_ms","p99_latency_ms_min","p99_latency_ms_max","max_latency_ms","max_latency_ms_min","max_latency_ms_max","mean_inter_arrival_ms","mean_inter_arrival_ms_min","mean_inter_arrival_ms_max","p95_inter_arrival_ms","p95_inter_arrival_ms_min","p95_inter_arrival_ms_max","inter_arrival_jitter_ms","inter_arrival_jitter_ms_min","inter_arrival_jitter_ms_max","messages_received","messages_received_min","messages_received_max","bytes_received","bytes_received_min","bytes_received_max","duplicates","duplicates_min","duplicates_max","ordering_violations","ordering_violations_min","ordering_violations_max","completion_ratio","completion_ratio_min","completion_ratio_max","lost_messages","lost_messages_min","lost_messages_max","duplicate_ratio","duplicate_ratio_min","duplicate_ratio_max","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicates_min","post_failure_duplicates_max","post_failure_duplicate_ratio","post_failure_ordering_violations","post_failure_ordering_violations_min","post_failure_ordering_violations_max","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","producer_samples_min","producer_samples_max","transformer_cpu_avg_pct","transformer_cpu_avg_pct_min","transformer_cpu_avg_pct_max","transformer_cpu_peak_pct","transformer_cpu_peak_pct_min","transformer_cpu_peak_pct_max","transformer_memory_avg_mib","transformer_memory_avg_mib_min","transformer_memory_avg_mib_max","transformer_memory_peak_mib","transformer_memory_peak_mib_min","transformer_memory_peak_mib_max","transformer_samples","transformer_samples_min","transformer_samples_max","sink_cpu_avg_pct","sink_cpu_avg_pct_min","sink_cpu_avg_pct_max","sink_cpu_peak_pct","sink_cpu_peak_pct_min","sink_cpu_peak_pct_max","sink_memory_avg_mib","sink_memory_avg_mib_min","sink_memory_avg_mib_max","sink_memory_peak_mib","sink_memory_peak_mib_min","sink_memory_peak_mib_max","sink_samples","sink_samples_min","sink_samples_max","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","rabbitmq_samples_min","rabbitmq_samples_max","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","nats_samples_min","nats_samples_max","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","kafka_samples_min","kafka_samples_max","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4","batched-unary","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","1050.37213731875","896.859348069514","1051.60455996111","1.02575404035034","0.875839207099135","1.02695757808702","19.040870649","19.018555797","22.30004074","185.75055","184.187248","186.37974","376.29378","376.02864","381.54978","393.674923","393.337188","3451.346265","451.201252","402.14673","3680.916915","0.947754412120497","0.945251528876346","0.948875803640035","0.00072","0.00072","0.000735","13.846108265068","12.7193811115215","16.1438642414455","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","8","8","11","11","8","0","9","0.257142857142857","0","0.657142857142857","0.8","0","1","4.57142857142857","2","5.42857142857143","10","2","11","21","21","28","0.25","0","0.342857142857143","0.5","0","0.8","5.42857142857143","2","6.5","11","2","12","21","21","24","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8","batched-unary","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","901.170761681426","894.744904135939","944.300626241969","0.880049571954517","0.873774320445253","0.922168580314423","22.193352082","21.179695792","22.352739767","370.35873","369.60948","380.67408","766.71999","756.59285","779.83659","3767.959664","793.5993","3923.37972","3966.872624","2956.686215","4210.937188","0.948563068753451","0.948169330866406","0.948755217760802","0.00072","0.00072","0.000745","20.2164705588823","16.7038739426634","23.0003299665546","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","6.2","6.2","13","13","8","0","9","0.238095238095238","0.128571428571429","0.6","0.4","0.3","0.8","8.42857142857143","2","11.047619047619","17","2","21","21","21","24","0.0857142857142857","0","0.5","0.2","0","0.5","2","2","6.28571428571429","2","2","12","21","21","24","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-kafka-p1024-c4","kafka","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","904.966696917639","884.31609640702","1040.22710228527","0.883756539958631","0.863589937897481","1.01584677957546","22.100260781","19.226570771","22.616347346","166.105371","147.85785","189.54576","356.397952","320.34438","367.68681","450.28818","384.844327","2316.991709","3285.23906","438.43761","3566.316961","0.955574994499537","0.950861336616732","0.96207601055049","0.0117","0.011324","0.01224","8.19717574010283","8.06157476834964","8.39365243790778","20000","20000","20000","20480000","20480000","20480000","0","0","6","0","0","0","1","1","1","0","0","0","0","0","0.0003","","","","","","","","","","0","0","0","","0","0","0","","True","13.3","13.3","10","10","8","7","9","5.65714285714286","5","6.21428571428571","6.3","5","6.4","8.2","7","8.90476190476191","10","7","11","21","20","21","0.714285714285714","0.614285714285714","0.914285714285714","1.3","0.9","1.6","5","4.14285714285714","5.80952380952381","9","7","10","21","20","21","","","","","0","0","0","","","","","0","0","0","41.0714285714286","53.3","412.714285714286","427","21","20","21","True","","","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-kafka-p1024-c8","kafka","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","891.074293503851","879.337433028706","1039.98576464989","0.870189739749855","0.858727961942096","1.01561109829091","22.444817616","19.231032462","22.744397371","236.252648","224.94969","258.0336","379.802437","352.241032","383.69376","3239.112362","386.63847","3532.111118","3462.164431","447.842592","3721.524622","0.950509501224993","0.949192971759708","0.957709195159678","0.018944","0.01377","0.02142","8.7108862449775","7.63388829356727","10.1017619882442","20000","20000","20000","20480000","20480000","20480000","0","0","8","0","0","0","1","1","1","0","0","0","0","0","0.0004","","","","","","","","","","0","0","0","","0","0","0","","True","19.9","19.9","11","11","7","0","9","8.05","7.15714285714285","8.92083333333334","9.3","8.1","9.8","11","9","11.2916666666667","14","9","14","21","20","24","0.6","0","0.8","1.4","0","2","5.2","2","6.125","10","2","11","21","20","24","","","","","0","0","0","","","","","0","0","0","41.15","66.4","433.5","454","21","20","24","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-nats-p1024-c4","nats-jetstream","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","903.021449330233","895.734055899543","1049.78285680416","0.881856884111556","0.874740288964398","1.02517857109781","22.147868154","19.051558968","22.32805582","0.69795","0.6759","0.875776","15.71256","8.150791","31.827555","38.66373","30.81411","57.31263","1139.937198","42.838478","2269.842742","0.949766319865971","0.948962630281512","0.949837434721721","1.78218","1.73133","2.123389","0.746663464327753","0.715321001185553","1.34241250896476","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","21.3","21.3","8","8","8","0","8","9.375","3.84","11.925","13.5","4.2","22.8","8.9","7.94444444444444","9","9","9","10","20","20","36","4.145","1.97777777777778","5.18","8.6","6","10.9","5.2","4.44444444444444","6.05","10","9","11","20","20","36","","","","","0","0","0","4.695","5.3","7.45","8","20","20","23","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-nats-p1024-c8","nats-jetstream","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","908.530877401787","894.888927682543","1051.45552174048","0.887237184962683","0.873914968439983","1.02681203294969","22.013561121","19.021251576","22.349142314","0.706852","0.68706","0.79326","24.860688","18.45657","34.4331","50.5593","47.727024","54.729248","62.31066","51.77934","2253.7337","0.948716998299915","0.948135839341961","0.949157782189096","1.78346","1.75068","1.99467","0.721338071543854","0.689098039485472","1.25235975762446","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","25.3","25.3","8","8","8","0","9","8.504","6.4","10.24","13.3","6.8","17.2","11.6","10","12.28","13","10","14","21","20","25","0.24","0","4","0.4","0","7.6","2","2","6.5","2","2","12","20","20","24","","","","","0","0","0","15.34","28.3","44.6","98","21","20","25","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","895.161736067284","893.424251199549","942.876652501196","0.874181382878207","0.872484620312059","0.9207779809582","22.342331217","21.211682299","22.385781417","4.38408","4.13046","4.550825","29.836347","22.743","67.8141","212.9193","49.78107","248.401258","2185.726575","2103.631","2273.929387","0.948828363068156","0.947524161758045","0.948902026401273","2.8017","2.72961","2.91006","1.3057888560159","1.15584354073123","1.50396699016625","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","22","22","10.5","10.5","2","0","8","3.335","1.765","8.1","16.1","11.7","20.5","6.75","6.5","8.5","11","11","11","20","20","24","1.325","1.12","2.565","6.4","1.9","14.7","3.6","2.6","4.5","7","7","8","20","20","24","22.195","31.6","132.5","138","20","20","24","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1044.27937468851","891.632162507035","1049.13560345886","1.01980407684425","0.870734533698277","1.0245464877528","19.151963052","19.06331263","22.430774529","4.032","3.419479","4.55481","34.08318","24.295103","59.83722","231.3243","60.25842","262.892899","286.57269","233.60535","3219.87969","0.949150033201633","0.948319344867199","0.949644871243522","2.64132","2.48589","2.82078","1.88620153250827","1.81579454632241","1.91742519393163","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","22","22","14","14","8","0","9","5.1","1.595","8.18333333333334","10.6","2.2","23.9","10.8571428571429","10.7","13.4583333333333","14","14","16","21","20","24","2.38","0","3.68333333333333","4.8","0","17.2","3.45833333333333","2","5.15","8","2","9","21","20","24","26.1625","32.1","136.3","146","21","20","24","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-stream-p1024-c4","client-streaming","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","900.624038645278","894.431179657619","1050.65626570505","0.87951566273953","0.873467948884393","1.02603150947759","22.206824537","19.035721437","22.360580059","0.247868","0.245249","0.292227","5.86827","2.8197","13.532716","8.76438","8.16993","21.962154","26.611482","12.01041","2202.525871","0.949757109005452","0.949338128856438","0.949817882894145","1.53459","1.5084","1.714606","0.636674386477715","0.620810232634399","0.695277968320489","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","22.7","22.7","7","7","7","0","8","0.5","0.5","4.60952380952381","0.5","0.5","12.1","3","2","8","3","2","14","21","20","24","0.413793103448276","0","4.58","0.5","0","10.4","3.5","2","4","5","2","8","24","20","29","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-stream-p1024-c8","client-streaming","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","904.192791319671","894.092613281906","1050.56978007378","0.883000772773116","0.873137317658111","1.0259470508533","22.119176565","19.037288507","22.369047348","0.25767","0.25371","0.280113","4.49442","3.85731","11.39103","11.72691","8.78256","17.865849","17.676","11.16432","2197.202238","0.949713961698088","0.949541436171801","0.94983527136356","1.63053","1.55844","1.632637","0.689567151515806","0.630503695172906","0.732678301125143","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","21.9","21.9","7","7","8","0","9","3.2","0","5.42857142857143","8.4","0","11.4","8.09523809523809","2","10.1428571428571","18","2","21","21","20","24","2.92857142857143","0","3.44827586206897","6.3","0","12.5","4.14285714285714","2","4.5","7","2","8","21","20","29","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","producer","producer","5"
