"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1051.4109491057582","1.026768504986092","19.022057947","184.187248","376.02864","393.337188","404.160229","0.9487379074455912","0.000735","12.719381111521512","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8","8","10","10","9","0","0","2","2","21","0","0","2","2","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","900.5650101105974","0.8794580176861303","22.208280108","185.75055","379.552694","401.003145","3586.72508","0.9477544121204973","0.00072","13.14576593759481","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","3","3","24","0.25","0.5","6.5","11","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1051.6045599611098","1.0269575780870213","19.018555797","185.90355","376.27047","393.40269","402.14673","0.9488758036400352","0.00072","16.143864241445502","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8","8","11","11","7","0.257142857142857","0.9","4.57142857142857","11","28","0.114285714285714","0.3","5.42857142857143","11","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","896.8593480695139","0.8758392070991347","22.30004074","186.37974","381.54978","3451.346265","3680.916915","0.9473470951046025","0.00072","13.865731391257457","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","6.2","6.2","14","14","8","0.342857142857143","0.8","5.42857142857143","10","21","0.285714285714286","0.5","2","2","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c4-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1050.372137318751","1.0257540403503427","19.040870649","184.865279","376.29378","393.674923","451.201252","0.945251528876346","0.00072","13.846108265068041","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8.4","8.4","11","11","8","0.657142857142857","1","5.42857142857143","10","21","0.342857142857143","0.8","6.28571428571429","12","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","944.3006262419692","0.9221685803144231","21.179695792","370.268557","763.828464","2765.983635","2956.686215","0.9486945723786265","0.000745","23.000329966554645","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","6.6","6.6","13","13","8","0.228571428571429","0.4","2","2","21","0.5","0.5","6.28571428571429","12","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","894.7449041359388","0.8737743204452527","22.352739767","369.60948","766.71999","3907.761748","4210.937188","0.9482980088502933","0.00072","16.703873942663435","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","6.2","6.2","22","22","9","0.238095238095238","0.5","11.047619047619","21","21","0","0","2","2","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","894.9526962500713","0.8739772424317103","22.347549858","380.67408","779.83659","3923.37972","4124.14344","0.9481693308664055","0.00072","19.17887254330538","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.6","0.8","10.5","19","24","0","0","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","901.2650476247679","0.8801416480710624","22.191030322","370.3887","767.45565","3767.959664","3966.872624","0.948755217760802","0.00072","20.216470558882268","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","6.2","6.2","12","12","8","0.128571428571429","0.3","8.42857142857143","17","21","0.0857142857142857","0.2","5","9","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-bunary-p1024-c8-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","901.1707616814259","0.8800495719545175","22.193352082","370.35873","756.59285","793.5993","3965.61262","0.9485630687534508","0.00072","21.41804923935147","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","24","0.4","0.4","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
