"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-bunary-p4096-c8-rep1","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","82","0","8","2584.89356625","2759.34978","50000","1957.626115510326","7.646977013712211","25.541138629","176.97024","381.00708","2690.21367","3147.13368","0.5096591695631962","0.00072","14.554198599701728","50000","204800000","0","0","1","0","0","1781617806747300316","2073.90571070642","1840","2033.22846149203","1989.46554","1000","True","2800","396.1674","0","0","0","22541.138629","True","9.3","9.3","14","14","13","1.12","4","4","12","5","0.457692307692308","1.9","2.5","15","26",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-bunary-p4096-c8-rep2","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","89","0","8","2794.4893237499996","3006.31644","50000","1728.221779049795","6.750866324413262","28.931471994","180.06558","384.71301","3061.30365","3543.319136","0.51337710444189","0.00081","16.024131756096832","50000","204800000","0","0","1","0","0","1781618238040198828","2125.87566348695","1790","1625.65016024595","2249.783921","2000","True","4500","397.82322","0","0","0","25931.471994","True","8.9","8.9","15","15","13","1.2","4","4.2","13","5","0.911538461538461","2.1","9.03846153846154","16","26",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-bunary-p4096-c8-rep3","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","73","0","8","2298.877619","2508.811657","50000","1766.5480076487697","6.900578154878007","28.30378783","179.22888","384.49143","2540.09014","3332.988667","0.5041953071459531","0.00081","13.151102296395308","50000","204800000","0","0","1","0","0","1781618669595385887","2071.90712008297","1880","1640.05148782829","1712.637436","1000","True","3000","396.02997","0","0","0","25303.78783","True","9.2","9.2","13","13","13","1.6","4","5.33333333333333","12","6","0.576923076923077","2.3","9.15384615384615","17","26",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-bunary-p4096-c8-rep4","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","32","0","8","1037.3197069999999","1039.252551","50000","1059.5845714553002","4.139002232247266","47.188305065","177.132629","385.65225","21167.797619","21434.252893","0.8786107298939099","0.00081","95.74449289419049","50000","204800000","0","0","1","0","0","1781619100248005471","2173.59548702786","0","1278.18562274199","20577.934069","25000","True","20000",,"0","0","0","44188.305065","True","2.75172413793103","3","11.1379310344828","12","29","0.780952380952381","2","4.38095238095238","12","21","0.614285714285714","0.7","10.8095238095238","16","42",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-bunary-p4096-c8-rep5","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","88","0","8","2789.3366437500003","2815.67142","50000","1729.5540967235036","6.756070690326186","28.909185376","175.24152","383.13792","3160.7658","3533.351696","0.5133852179041932","0.000739","15.913514755386565","50000","204800000","0","0","1","0","0","1781619531087549124","2074.64471489039","1810","1621.64179939216","2177.253032","2000","True","4600","396.2798","0","0","0","25909.185376","True","9.1","9.1","14","14","13","1.94285714285714","4","6.28571428571429","12","7","1.03333333333333","2.2","11.4814814814815","18","27",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-stream-p4096-c8-rep1","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.28904625","1.22526","0","1545.5852792125313","6.03744249692395","32.350204594","0.266314","2.35422","22.29039","1976.449615","0.4833537155918747","1.49121","0.6876077793667908","50000","204800000","10263","0","1","0","0.20526","1781617690160045359","2681.14656127105","348.4","1993.82904777983","1.10949","10000","True","16516","1.081715","10263","0.20526","0","29350.204594","True","25.8294117647059","32.1","8","8","17","18.2666666666667","35.2","6.5","8","24","3.10689655172414","16.1","3.72413793103448","12","29",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-stream-p4096-c8-rep2","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.16346187500000003","0.460772","0","1542.1950896600692","6.0241995689846455","32.421319673","0.26019","1.27233","4.72437","1114.016909","0.4835092084727926","1.466087","0.6436119669265679","50000","204800000","10642","0","1","0","0.21284","1781618121175554887","2677.94501867158","321.5","2000.17303942557","0.814544","10000","True","16785","0.38606","10642","0.21284","0","29421.319673","True","27.8352941176471","33.8","8","8","17","19.5541666666667","35.8","6.5","8","24","4.17241379310345","18.9","7.13793103448276","11","29",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-stream-p4096-c8-rep3","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.095715","0.45171","0","1538.9563611364924","6.011548285689424","32.489550232","0.272727","2.245891","8.110049","1930.494983","0.4834059818764087","1.48302","0.6730308474313836","50000","204800000","10530","0","1","0","0.2106","1781618537081877857","2693.13111796783","945.7","1678.74576942674","0.81545","7000","True","10544","0.6201","10530","0.2106","0","29489.550232","True","33.3","33.3","8","8","18","15.7","31.4","5","8","12","3.68","18.4","3.6","10","30",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-stream-p4096-c8-rep4","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.12348","0.43875","0","1541.3286661153265","6.020815102012994","32.439544595","0.26982","2.36232","13.907807","19.67355","0.483537422316643","1.49508","0.673180488644673","50000","204800000","10458","0","1","0","0.20916","1781618981424072523","2684.8465428462","591.4","1860.84606165642","0.928877","12000","True","14086","0.507736","10458","0.20916","0","29439.544595","True","29.7","29.7","8","8","3","17.5181818181818","32","6.36363636363636","8","22","6.21379310344828","16.4","6.13793103448276","11","29",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-stream-p4096-c8-rep5","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.18012375","0.56565","0","1539.0904879315017","6.0120722184824285","32.486718872","0.25722","1.42793","8.14986","1298.935793","0.48339280731848494","1.461103","0.6831687474553987","50000","204800000","10505","0","1","0","0.2101","1781619413685901813","2684.94937379357","310.9","2000.13148729742","0.891761","10000","True","16891","0.86805","10505","0.2101","0","29486.718872","True","24.6235294117647","24.7","8","8","17","16.7125","24.5","6.5","8","24","3.03793103448276","15.7","3.72413793103448","12","29",,,,,"0",,,,,"0",,,,,"0","True","",""
