"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-extra5-no256k-20260709-synthetic-backpressure-bunary-p1024-c8-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3261.791121544759","3.1853428921335536","6.131600478","122.507213","229.128847","251.594023","274.843291","0.303635916645827","2.050279","0.6488048326573432","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.8","1.1","13","24","24","2.6","4.8","8.5","15","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-bunary-p1024-c8-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3387.7865810356902","3.3083853330426662","5.903559602","118.089422","221.118185","237.849019","283.076944","0.2909386288814484","1.219896","0.5722221744315048","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.6","0.8","9","16","24","2.1","3.7","9","16","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-bunary-p1024-c8-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3401.660577044233","3.3219341572697587","5.879481373","117.524883","220.08583","233.294511","270.022675","0.2906061414070726","2.037061","0.6045565601407029","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.183333333333333","0.4","2","2","24","2.62083333333333","4.5","13.375","23","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-bunary-p1024-c8-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3434.5898316791877","3.3540916324992067","5.823111632","115.894849","217.550511","231.051302","287.540889","0.28724071428571096","2.1319","0.6182565720883404","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.8","1.6","12","22","24","0","0","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-bunary-p1024-c8-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","3446.1694308135793","3.365399834778886","5.803545183","115.21326","217.327019","231.026306","263.937406","0.28726428321415753","1.179788","0.5586437451655358","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","1.2","1.9","13","24","24","0.4","0.4","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-stream-p1024-c8-rep1","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3442.2113894735935","3.361534560032806","5.810218414","1372.850912","1722.27742","1781.939533","1827.205833","0.2877543997199817","2.208912","0.7009693476963487","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","6.65","13.3","20","38","24","1.9","3.4","21","40","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-stream-p1024-c8-rep2","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3372.8528398163007","3.293801601383106","5.929698374","1354.698567","2208.429511","2474.818866","2560.106211","0.2939246089304444","2.178733","0.6717314962870992","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","2.4","4.3","14","26","24","1","2","14","26","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-stream-p1024-c8-rep3","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3412.7134986526034","3.332728026027933","5.86043921","1416.875734","1818.195712","1917.958584","1967.040884","0.29012522486124714","2.194134","0.6913295434707423","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","6.0125","11.1","13.8333333333333","23","24","1.08333333333333","2","15","26","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-stream-p1024-c8-rep4","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3368.9206310776804","3.289961553786797","5.936619526","1481.347121","1946.93372","2105.412896","2157.376978","0.2941174862243144","2.187002","0.6976709059132006","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.55","0.6","2","2","24","0.55","0.6","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-stream-p1024-c8-rep5","client-streaming","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3368.3796682225825","3.2894332697486157","5.937572949","1439.276274","2249.832336","2464.311475","2527.715572","0.2940235457772944","2.184687","0.7232594509759653","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","3.75","7","5","7","24","0.25","0.5","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-kafka-p1024-c8-rep1","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1303.0225493571118","1.2724829583565544","15.348928543","5107.196355","10594.837672","11326.566269","11603.131593","0.7535398411228851","2.378878","1.1454636578143422","20000","20480000","92","0","1","0","0.0046",,,,,,,,,,"0",,"0",,"True","6.7","6.7","7","7","5","8.05882352941177","8.9","10.7647058823529","14","17","1","2.1","5.47058823529412","10","17",,,,,"0",,,,,"0","38.1","38.1","422","422","17","True","",""
"rq1-extra5-no256k-20260709-synthetic-backpressure-kafka-p1024-c8-rep2","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1267.2981981569237","1.2375958966376208","15.781605331","4407.682406","11209.027969","11987.389449","12182.62626","0.773337987555778","2.467174","1.281057847644592","20000","20480000","171","0","1","0","0.00855",,,,,,,,,,"0",,"0",,"True","6.1","6.1","11","11","5","8.0764705882353","8.4","11.7647058823529","15","17","1.55294117647059","4.4","9.76470588235294","24","17",,,,,"0",,,,,"0","24.9117647058824","45.1","420.529411764706","438","17","True","",""
"rq1-extra5-no256k-20260709-synthetic-backpressure-kafka-p1024-c8-rep3","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1570.8911641641776","1.5340734025040796","12.731626771","2633.811113","8057.196378","8705.534547","9239.233087","0.6183406640332033","2.348385","0.9516883067481483","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","5.9","5.9","11","11","2","8.16","9.6","10.4","16","15","0.32","0.4","2","2","15",,,,,"0",,,,,"0","49.26","52.5","422.2","439","15","True","",""
"rq1-extra5-no256k-20260709-synthetic-backpressure-kafka-p1024-c8-rep4","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1356.200654620534","1.3244147017778651","14.747080332","4662.604516","10436.361601","11073.834171","11160.63503","0.7221128915608678","2.332873","0.9877326404861276","20000","20480000","86","0","1","0","0.0043",,,,,,,,,,"0",,"0",,"True","6.9","6.9","8","8","5","8.55882352941176","9.4","11.1176470588235","15","17","0.564705882352941","0.6","5.11764705882353","9","17",,,,,"0",,,,,"0","31.4529411764706","43.1","412.764705882353","416","17","True","",""
"rq1-extra5-no256k-20260709-synthetic-backpressure-kafka-p1024-c8-rep5","kafka","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","1630.3244743674347","1.592113744499448","12.267496633","2744.217665","7693.903923","8289.683687","8380.044941","0.5974838992449553","2.306427","0.9204295225728064","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","6.6","6.6","8","8","3","7.1","7.1","9","9","15","1.32","3.3","7.8","21","15",,,,,"0",,,,,"0","38.5","38.5","414","414","15","True","",""
"rq1-extra5-no256k-20260709-synthetic-backpressure-nats-p1024-c8-rep1","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3148.750663657651","3.0749518199781747","6.351725537","1687.852684","2771.423912","3129.970409","3226.176854","0.31365619225961244","2.159029","0.6319311289998585","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","1.15217391304348","1.2","6","6","23","3.08695652173913","5.8","7.26086956521739","13","23",,,,,"0","1.5","1.5","7","7","23",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-nats-p1024-c8-rep2","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3152.007592908915","3.078132414950112","6.34516238","1664.873556","2492.61066","2734.713213","2834.445882","0.31311097054852793","2.163552","0.6368108282371553","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","11.7","22","10.5","15","24","0.5","0.5","2","2","24",,,,,"0","1.05","1.4","7","7","24",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-nats-p1024-c8-rep3","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3086.1674536582186","3.013835403963104","6.480529751","1774.431528","2859.714682","3163.504135","3267.173305","0.3211856393819681","2.195248","0.6564727104069353","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","11.2","21.1","10","14","24","5.45","10.3","12","22","24",,,,,"0","15.4","29.5","46.5","86","24",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-nats-p1024-c8-rep4","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3120.4563955933545","3.0473206988216353","6.409318851","1575.742356","2940.864141","3280.521849","3329.768719","0.3159698555427744","2.18022","0.6402851610189811","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","13","24.7","10.5","15","24","4.7","8.9","8.5","15","24",,,,,"0","16.35","31.3","55.5","104","24",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-nats-p1024-c8-rep5","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","3067.0981489377787","2.9952130360720495","6.520821646","1799.553063","2778.060994","3133.73821","3228.373296","0.3238449654982712","2.155738","0.6518741401807587","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","1.15","1.2","6","6","24","4.85","9.2","9","16","24",,,,,"0","15.55","29.8","85.5","163","24",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-rmqs-p1024-c8-rep1","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","2969.134594694829","2.899545502631669","6.735969476","1945.327711","2794.186543","2967.194731","3028.759473","0.3289331376568838","2.18462","0.7126762459534904","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","6","11.9","11.5","15","24","1.2","1.9","12","22","24","21.6","22.3","151","169","24",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-rmqs-p1024-c8-rep2","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","2951.046906177748","2.881881744314207","6.777255881","1899.895883","2535.938483","2660.901767","2728.819401","0.3317270482024094","2.196947","0.7186815629776483","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","4.25","7.6","13","18","24","0","0","2","2","24","14","20.7","136","144","24",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-rmqs-p1024-c8-rep3","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","2809.9643461734336","2.7441058068099937","7.117528031","2107.619058","2769.309099","2978.560695","3034.444883","0.34638119265963685","2.22115","0.8166247157853361","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.8","1.5","13","18","24","2.8","5.1","10.5","19","24","23.3","26.5","147.5","166","24",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-rmqs-p1024-c8-rep4","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","2969.954028388985","2.9003457308486182","6.734110969","1959.018623","2666.310646","2830.176244","2900.939343","0.32974276103805156","2.199845","0.7098085846756592","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.55","1","9","9","24","1.5","2.4","7","12","24","24.05","24.8","141.5","152","24",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-rmqs-p1024-c8-rep5","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","0","2900.303782154097","2.8323279122598604","6.895829369","1969.06366","2600.859271","2792.98734","2864.196813","0.33644916715835405","2.209051","0.743792558648681","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","3.4","5.9","12","16","24","2.35","4.7","6","10","24","19.1","28.7","149","169","24",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-unary-p1024-c8-rep1","unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","2225.0035602337593","2.1728550392907806","8.988749662","0.494859","1.152982","2.33279","22.307618","0.4459178731936603","3.282034","1.1004436883368944","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","24","0.5","0.5","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-unary-p1024-c8-rep2","unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","2084.2834402614667","2.0354330471303386","9.595623903","0.492586","1.753694","4.811876","25.709194","0.4771166110805517","3.249147","1.1732731947634452","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","24","0.25","0.5","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-unary-p1024-c8-rep3","unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","2310.5066273100883","2.256354128232508","8.656110207","0.479684","0.930814","1.73004","27.50072","0.4297294501725041","3.235971","1.0724989358761348","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","7.95","15.4","5","8","24","0.2","0.4","2","2","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-unary-p1024-c8-rep4","unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","2352.296338154521","2.2971643927290244","8.502330117","0.473896","0.831609","1.351486","24.550463","0.42288489889494374","3.224956","1.0672706177620304","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","7.925","16.7","4.29166666666667","7","24","7.4125","15.7","8.95833333333333","16","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
"rq1-extra5-no256k-20260709-synthetic-backpressure-unary-p1024-c8-rep5","unary","synthetic","synthetic","continuous","20000","1024","8","4000","0","2","0","500","","","0","0","0","0","0","0","20000","2112.6624742243944","2.06314694748476","9.466727527","0.499179","1.562286","3.881012","48.640851","0.4693757799389998","3.26692","1.1427823326071187","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","12.2625","22.3","4.70833333333333","7","24","6.56666666666667","11.7","5.25","8","24",,,,,"0",,,,,"0",,,,,"0","False","producer","producer"
