"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","55857.040518267095","13.636972782780052","0.358056922","0.718919","1.401376","26.45855","45.25532","0.01531423461172847","0.000656","0.3995792388465443","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","51457.27597314624","12.562811516881407","0.388671954","0.681658","1.135087","26.140987","35.838278","0.017105186509325028","0.000663","0.44024644873510005","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1-rep3","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","51450.91860585844","12.561259425258408","0.388719979","0.707508","1.107802","1.797232","31.203822","0.016892583379172862","0.000673","0.4119676360398992","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1-rep4","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","36321.37136306345","8.867522305435413","0.550640002","0.929915","2.016889","24.557963","37.435834","0.02494526461323088","0.000796","0.5839941415050227","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1-rep5","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","34378.87993055686","8.393281233046109","0.581752519","1.239898","3.136633","8.713695","33.591841","0.025880512725637028","0.000827","0.37030766241638596","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","97156.16662164046","23.71976724161144","0.205854149","0.86871","1.744213","45.529683","46.387447","0.007021564128206699","0.00066","0.29578318528621184","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0","0","3","3","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","94231.5719206689","23.005754863444555","0.21224309","1.437854","4.420915","31.625261","32.103624","0.007835930746537349","0.000668","0.18833916019327104","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4-rep3","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","99646.82772729581","24.327838800609328","0.200708848","0.953859","2.659467","32.926264","33.073322","0.007150457022850998","0.000673","0.40918597652116784","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4-rep4","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","67373.0120624304","16.448489273054296","0.29685477","1.418231","23.284505","36.478196","38.00974","0.011489682934148511","0.000808","0.4383789014980875","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4-rep5","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","34365.56847712386","8.390031366485317","0.58197786","4.257507","20.186634","59.457762","63.20938","0.023626982849142112","0.000827","0.4319716970352565","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.6","0.6","3","3","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
