"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","expected_messages_min","expected_messages_max","payload_bytes","payload_bytes_min","payload_bytes_max","concurrency","concurrency_min","concurrency_max","target_messages_per_second","target_messages_per_second_min","target_messages_per_second_max","transformer_work_iterations","transformer_work_iterations_min","transformer_work_iterations_max","sink_process_delay_ms","sink_process_delay_ms_min","sink_process_delay_ms_max","max_retry_attempts","max_retry_attempts_min","max_retry_attempts_max","retry_backoff_ms","retry_backoff_ms_min","retry_backoff_ms_max","failure_action","failure_target","failure_after_seconds","failure_after_seconds_min","failure_after_seconds_max","producer_retry_attempts","producer_retry_attempts_min","producer_retry_attempts_max","producer_stream_reconnects","producer_stream_reconnects_min","producer_stream_reconnects_max","producer_recovery_events","producer_recovery_events_min","producer_recovery_events_max","producer_avg_recovery_ms","producer_avg_recovery_ms_min","producer_avg_recovery_ms_max","producer_max_recovery_ms","producer_max_recovery_ms_min","producer_max_recovery_ms_max","unary_acknowledged_requests","unary_acknowledged_requests_min","unary_acknowledged_requests_max","throughput_messages_per_second","throughput_messages_per_second_min","throughput_messages_per_second_max","throughput_megabytes_per_second","throughput_megabytes_per_second_min","throughput_megabytes_per_second_max","duration_seconds","duration_seconds_min","duration_seconds_max","p50_latency_ms","p50_latency_ms_min","p50_latency_ms_max","p95_latency_ms","p95_latency_ms_min","p95_latency_ms_max","p99_latency_ms","p99_latency_ms_min","p99_latency_ms_max","max_latency_ms","max_latency_ms_min","max_latency_ms_max","mean_inter_arrival_ms","mean_inter_arrival_ms_min","mean_inter_arrival_ms_max","p95_inter_arrival_ms","p95_inter_arrival_ms_min","p95_inter_arrival_ms_max","inter_arrival_jitter_ms","inter_arrival_jitter_ms_min","inter_arrival_jitter_ms_max","messages_received","messages_received_min","messages_received_max","bytes_received","bytes_received_min","bytes_received_max","duplicates","duplicates_min","duplicates_max","ordering_violations","ordering_violations_min","ordering_violations_max","completion_ratio","completion_ratio_min","completion_ratio_max","lost_messages","lost_messages_min","lost_messages_max","duplicate_ratio","duplicate_ratio_min","duplicate_ratio_max","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicates_min","post_failure_duplicates_max","post_failure_duplicate_ratio","post_failure_ordering_violations","post_failure_ordering_violations_min","post_failure_ordering_violations_max","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_avg_pct_min","producer_cpu_avg_pct_max","producer_cpu_peak_pct","producer_cpu_peak_pct_min","producer_cpu_peak_pct_max","producer_memory_avg_mib","producer_memory_avg_mib_min","producer_memory_avg_mib_max","producer_memory_peak_mib","producer_memory_peak_mib_min","producer_memory_peak_mib_max","producer_samples","producer_samples_min","producer_samples_max","transformer_cpu_avg_pct","transformer_cpu_avg_pct_min","transformer_cpu_avg_pct_max","transformer_cpu_peak_pct","transformer_cpu_peak_pct_min","transformer_cpu_peak_pct_max","transformer_memory_avg_mib","transformer_memory_avg_mib_min","transformer_memory_avg_mib_max","transformer_memory_peak_mib","transformer_memory_peak_mib_min","transformer_memory_peak_mib_max","transformer_samples","transformer_samples_min","transformer_samples_max","sink_cpu_avg_pct","sink_cpu_avg_pct_min","sink_cpu_avg_pct_max","sink_cpu_peak_pct","sink_cpu_peak_pct_min","sink_cpu_peak_pct_max","sink_memory_avg_mib","sink_memory_avg_mib_min","sink_memory_avg_mib_max","sink_memory_peak_mib","sink_memory_peak_mib_min","sink_memory_peak_mib_max","sink_samples","sink_samples_min","sink_samples_max","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","rabbitmq_samples_min","rabbitmq_samples_max","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","nats_samples_min","nats_samples_max","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","kafka_samples_min","kafka_samples_max","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4","batched-unary","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","1051.14489979298","1049.90090648881","1125.30087551408","1.02650869120408","1.02529385399298","1.09892663624421","19.026872512","17.773024473","19.049416832","185.178341","182.083778","186.641468","376.009168","375.739635","376.296637","393.57595","393.366612","393.796662","410.487062","407.37637","419.843159","0.948206269863519","0.947750321966232","0.948497540627048","0.000833","0.00081","0.000837","12.7563972347561","11.8983463397333","13.9418405203612","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","7.9","7.5","8.1","7.9","7.5","8.1","10","10","11","10","10","11","8","7","8","0.428571428571429","0","0.628571428571429","0.8","0","1","5.85714285714286","2","7.14285714285714","11","2","14","20","20","21","0.46","0.3","0.5","0.5","0.5","0.7","5.85714285714286","5.6","6.28571428571429","11","11","12","20","20","21","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8","batched-unary","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","1051.41839214364","1050.65432630434","1125.7511517921","1.02677577357777","1.02602961553158","1.09936635917197","19.021923289","17.765915645","19.035756575","367.262296","351.935681","367.311114","752.125656","750.504013","752.527683","786.915919","786.329391","787.532332","808.693139","800.842082","813.535466","0.947361554627866","0.94684652032591","0.94817599374971","0.000833","0.000804","0.000837","18.6231683150693","18.3867087503848","18.7974707118934","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","7.7","7.3","8","7.7","7.3","8","16","11","23","16","11","23","8","7","9","0.45","0","0.542857142857143","0.6","0","1","10.0952380952381","2","11","19","2","22","21","20","21","0.257142857142857","0","0.452380952380953","0.5","0","0.7","5.6","2","6.28571428571429","11","2","12","21","20","21","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-kafka-p1024-c4","kafka","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1039.29103556847","1029.3012180805","1109.4087252712","1.01493265192233","1.00517697078174","1.08340695827265","19.243887723","18.02762097","19.430658051","173.046388","166.008337","191.64545","354.337721","351.016824","366.851402","389.755328","386.9482","422.271426","476.564748","467.190463","630.945606","0.952762607630394","0.942480390819543","0.959243998550377","0.015013","0.013921","0.016574","8.16484713771605","8.01614280391006","8.33635377276993","20000","20000","20000","20480000","20480000","20480000","0","0","6","0","0","0","1","1","1","0","0","0","0","0","0.0003","","","","","","","","","","0","0","0","","0","0","0","","True","15.8","14.9","16.6","15.8","14.9","16.6","10","10","10","10","10","10","7","7","8","7.06","6.5","7.34285714285714","8.2","6.5","10.1","8.2","7","8.28571428571429","10","7","10","20","19","21","0.4","0","1.42","0.4","0","2.8","2","2","5.42857142857143","2","2","10","20","19","21","","","","","0","0","0","","","","","0","0","0","47.28","52","419","434","20","19","21","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-kafka-p1024-c8","kafka","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1059.13776928293","1035.05795499555","1118.10551201251","1.03431422781536","1.01079878417534","1.09189991407472","18.883284668","17.887399521","19.322589526","238.927568","230.386428","245.066748","375.18894","371.056387","400.532283","445.555918","403.253841","589.503671","796.513727","503.051708","907.793737","0.947363442361602","0.942895666283292","0.960729366421726","0.027725","0.024286","0.032452","7.6245540400464","7.04010311867124","9.31374289386035","20000","20000","20000","20480000","20480000","20480000","5","0","8","0","0","0","1","1","1","0","0","0","0.00025","0","0.0004","","","","","","","","","","0","0","0","","0","0","0","","True","19.6","17.9","21","19.6","17.9","21","11","11","12","11","11","12","8","7","8","9.18","7.995","9.31428571428571","9.4","8.6","10.4","10.2857142857143","10.1428571428571","11.1428571428571","13","12","14","21","20","21","0.857142857142857","0","1.05714285714286","1.8","0","2.3","5.85714285714286","2","6.85714285714286","11","2","12","21","20","21","","","","","0","0","0","","","","","0","0","0","41.6428571428571","53.9","423.714285714286","439","21","20","21","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-nats-p1024-c4","nats-jetstream","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1070.49753584573","1049.11666050789","1128.33669024378","1.04540774984934","1.02452798877723","1.10189129906619","18.682901483","17.725205759","19.063656839","0.857374","0.841602","0.925727","20.192829","16.419531","30.313797","48.151828","41.506414","55.981808","51.734118","49.42664","63.290242","0.949116018600929","0.948168583279163","0.949285260063004","2.005305","1.944799","2.134343","0.896875083701396","0.805499847607947","0.988096930181873","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","25.7","24.9","26.8","25.7","24.9","26.8","8","7","8","8","7","8","8","7","9","5.615","0.76","9.71428571428572","11.5","1","19.3","6.4","4","7.33333333333333","10","4","11","20","20","21","0.5","0.5","6.61","0.5","0.5","14.2","2","2","6.05","2","2","11","20","20","21","","","","","0","0","0","12.92","30.8","31","70","20","20","21","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-nats-p1024-c8","nats-jetstream","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1050.9708658165","1050.52208846227","1123.10728961726","1.02633873614893","1.02590047701394","1.09678446251686","19.030023239","17.80773768","19.038152762","0.887094","0.841373","1.1331","25.200941","19.903566","39.067848","59.068139","54.864426","72.35198","64.857707","57.446023","85.176433","0.948776001000052","0.94746484829241","0.949620968398425","2.059337","1.927516","2.408309","0.931241015044721","0.807763080136465","1.18762464532898","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","25.8","22.1","26.6","25.8","22.1","26.6","8","7","8","8","7","8","8","7","8","7.085","1.2","9.93","14.4","1.2","20.6","9.15","6","9.6","13","6","14","20","19","20","2.9","0.4","3.94","6.2","0.4","9.1","5.6","2","6.05","11","2","11","20","19","20","","","","","0","0","0","1.2","1.6","8","8","20","19","20","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1104.77518918904","1047.56537042933","1123.50089642802","1.07888202069242","1.02301305705989","1.09716884416799","18.10323059","17.801498925","19.091887308","5.081926","4.777531","5.778262","33.023072","21.080576","41.618139","236.964965","110.000483","240.883196","243.78592","215.622849","438.385767","0.949188671983599","0.948920607830393","0.950498498224911","2.894964","2.892484","3.187217","1.23729395789665","1.16238127773107","1.47890526173691","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","22.8",,,"22.8",,,"10",,,"10",,,"0","0","8","4.7","2.06","6.79473684210526","16","3.6","26.9","7.25","6.83333333333333","8.10526315789474","11","10","11","24","19","24","3.7","0.22","6.28333333333333","14.1","0.4","20.2","3.75","2","5.66666666666667","8","2","9","24","19","24","25.7666666666667","26.7","134.833333333333","136","24","19","24","","","","","0","0","0","","","","","0","0","0","False","producer","producer","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1064.27591652666","1040.05732194389","1124.82144794536","1.03933194973306","1.01568097846083","1.09845844525914","18.792119308","17.780599789","19.229709342","4.892633","4.494393","6.584318","55.787331","32.529265","89.339112","248.5356","63.440169","433.379611","259.914429","229.101003","456.648019","0.949113131106558","0.944289953397673","0.949512768088405","2.897658","2.806124","3.14855","1.58145407505369","1.51012896919112","1.91144668821105","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","22.2","18.5","22.4","22.2","18.5","22.4","14","13","15","14","13","15","8","8","9","0.485","0.1","2.98","0.8","0.1","5.4","8","8","10.7","8","8","14","20","19","21","0","0","0.4","0","0","0.4","2","2","2","2","2","2","20","19","21","21.2380952380952","30","138.65","148","20","19","21","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-stream-p1024-c4","client-streaming","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","4","4","4","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1050.20326397206","1049.68779394693","1126.04392168627","1.02558912497272","1.0250857362763","1.09965226727175","19.043932433","17.761296531","19.053284334","0.291216","0.286213","0.326604","9.740774","5.418413","15.126178","17.493312","9.161778","19.350885","21.295965","11.162131","23.868915","0.94926348347418","0.949111595579782","0.94969770563528","1.672569","1.640571","1.987302","0.728622166742652","0.691672653320903","0.906151199959998","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","24.5","21.9","24.8","24.5","21.9","24.8","7","7","7","7","7","7","7","7","9","6.16666666666667","0","9.34","12.4","0","22.6","4","2","6.28571428571429","7","2","12","20","20","21","3.3","2.04","4.61904761904762","7.5","5.1","9.7","4","4","4.85714285714286","7","7","8","20","20","21","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-continuous-stream-p1024-c8","client-streaming","synthetic","synthetic","continuous","20000","20000","20000","1024","1024","1024","8","8","8","1000","1000","1000","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1050.35979466608","1049.88524982307","1125.44568211031","1.02574198697859","1.02527856428034","1.09906804893585","19.041094396","17.770737689","19.049700911","0.295221","0.282392","0.301361","7.412647","6.782244","13.315176","13.099904","9.968463","18.892863","18.407603","12.623195","25.279974","0.94954891254562","0.949387093054651","0.949677179408971","1.706949","1.606953","1.768231","0.726034997996969","0.681109154387955","0.797157843080009","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","24.4","22.8","25.3","24.4","22.8","25.3","7","7","7","7","7","7","8","7","9","4.37","2.615","6.81428571428571","9.1","5.2","15.9","8.66666666666667","8.3","10.5714285714286","18","16","22","20","20","21","2.48","0","5.535","5.6","0","12.3","4.25","2","5","7","2","9","20","20","21","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
