"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1050.6011182735826","1.0259776545640455","19.036720647","185.178341","376.296637","393.546078","407.37637","0.9477503219662319","0.000837","12.557921058452079","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8","8","11","11","8","0.428571428571429","1","7.14285714285714","14","21","0.3","0.7","6.28571428571429","12","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1125.300875514076","1.098926636244215","17.773024473","182.083778","375.739635","393.607028","410.487062","0.9484975406270479","0.000833","11.898346339733314","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.8","7.8","10","10","8","0.628571428571429","0.8","5.85714285714286","11","21","0.485714285714286","0.6","5.85714285714286","11","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1049.9009064888103","1.0252938539929788","19.049416832","185.59677","376.195057","393.796662","419.843159","0.9484974490225045","0.000833","13.94184052036115","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.5","7.5","11","11","7","0.6","0.9","5.2","10","20","0.46","0.5","5.6","11","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1110.66210960189","1.0846309664080958","18.007276765","182.956824","375.977062","393.366612","408.179557","0.9477952942646148","0.000823","12.786408908561492","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.9","7.9","10","10","8","0","0","2","2","20","0.455","0.5","6.05","11","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c4-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1051.1448997929776","1.0265086912040797","19.026872512","186.641468","376.009168","393.57595","412.9428","0.9482062698635187","0.00081","12.75639723475612","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8.1","8.1","10","10","7","0.42","0.5","6.2","11","20","0.5","0.5","5.6","11","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8-rep1","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1051.227572569453","1.0265894263373565","19.025376162","367.262296","752.469959","787.451921","813.535466","0.9473615546278658","0.000837","18.429055371883372","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.3","7.3","15","15","8","0.45","1","11","22","20","0","0","2","2","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8-rep2","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1125.7511517920977","1.0993663591719705","17.765915645","351.935681","750.504013","786.810121","803.791113","0.9481759937497101","0.000833","18.69024482815291","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.8","7.8","16","16","7","0","0","2","2","20","0.28","0.7","5.6","11","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8-rep3","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1051.418392143638","1.0267757735777714","19.021923289","367.303729","752.125656","787.532332","808.693139","0.9472099855493292","0.000833","18.386708750384777","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","8","8","11","11","9","0.542857142857143","0.7","10.0952380952381","19","21","0.452380952380953","0.5","6.28571428571429","11","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8-rep4","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1109.4493442300266","1.0834466252246353","18.026960946","352.633007","750.859689","786.329391","800.842082","0.9477520915044314","0.000812","18.623168315069304","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.7","7.7","22","22","9","0","0","2","2","21","0","0","2","2","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-bunary-p1024-c8-rep5","batched-unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1050.6543263043382","1.0260296155315802","19.035756575","367.311114","752.527683","786.915919","812.038835","0.9468465203259104","0.000804","18.79747071189335","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","7.6","7.6","23","23","8","0.542857142857143","0.6","10.7142857142857","21","21","0.257142857142857","0.6","6.28571428571429","12","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-stream-p1024-c4-rep1","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1049.6877939469268","1.0250857362762957","19.053284334","0.286213","5.418413","9.161778","11.162131","0.9496977056352798","1.646937","0.6916726533209034","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","24.5","24.5","7","7","7","9.34","22.6","4","7","20","2.04","5.1","4","7","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-stream-p1024-c4-rep2","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1126.043921686271","1.099652267271749","17.761296531","0.291948","15.126178","18.963047","21.295965","0.94926348347418","1.640571","0.6946210544687549","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","24.3","24.3","7","7","9","6.16666666666667","12.4","4.38095238095238","7","21","4.61904761904762","9.7","4.85714285714286","8","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-continuous-stream-p1024-c4-rep3","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.2032639720614","1.0255891249727163","19.043932433","0.326604","9.740774","17.493312","22.942367","0.9491115955797815","1.987302","0.9061511999599983","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","21.9","21.9","7","7","7","0","0","2","2","20","3.3","7.5","4","7","20",,,,,"0",,,,,"0",,,,,"0","True","",""
