"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-extra5-no256k-20260709-synthetic-recovery-bunary-p4096-c8-rep1","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","80","0","8","2517.149033125","2524.250418","50000","1978.4804798197756","7.7284393742959985","25.271919794","175.825599","381.825969","2629.082179","2913.557245","0.5083726376925621","0.000814","14.015475291749595","50000","204800000","0","0","1","0","0","1783628050270435700","1846.88904627416","1960","2037.08958497452","1592.603207","1000","True","2600","394.536354","0","0","0","22271.919794","True","9.1","9.1","16","16","13","1.73333333333333","4.2","6","12","6","0.974074074074074","2.3","9.37037037037037","17","27",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-bunary-p4096-c8-rep2","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","88","0","8","2794.5234581249997","2824.001596","50000","1937.6440655801555","7.568922131172482","25.80453288","179.969101","381.922473","2930.86494","3223.199286","0.5147704104283447","0.000903","16.30937356300127","50000","204800000","0","0","1","0","0","1783628602508774528","2079.44660828723","1800","2022.64309387286","2252.465588","2000","True","4900","397.923076","0","0","0","22804.53288","True","9.04","10.6","13","13","15","2.04285714285714","4.1","6.28571428571429","12","7","1.01481481481481","2.1","9.7037037037037","15","27",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-bunary-p4096-c8-rep3","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","85","0","8","2683.9263621249997","2782.202151","50000","1956.8657014391135","7.644006646246537","25.551063603","172.602226","380.285583","2768.971979","3199.457425","0.5090611692435163","0.001013","13.842778823024984","50000","204800000","0","0","1","0","0","1783629167213499421","2033.44093707675","1870","2023.65319811853","1903.324529","1000","True","2500","398.896696","0","0","0","22551.063603","True","11","11","14","14","12","0","0","2","2","4","0.95","1.9","9","16","24",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-bunary-p4096-c8-rep4","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","74","0","8","2366.398159625","2512.959778","50000","1975.9017095076574","7.718366052764287","25.304902445","173.148483","381.927891","2476.390675","2905.613131","0.5041878828977726","0.001014","13.717121342020375","50000","204800000","0","0","1","0","0","1783629735631794050","1928.383015294","1930","2039.75611445817","1504.190838","1000","True","2500","395.885815","0","0","0","22304.902445","True","10.4230769230769","10.7","12.9230769230769","13","13","1.7","5.1","5.66666666666667","11","6","0.891666666666667","2.9","9.58333333333333","15","24",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-bunary-p4096-c8-rep5","batched-unary","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","80","0","8","2518.159174875","2534.935717","50000","1974.5561802513353","7.713110079106778","25.32214606","176.940327","382.311503","2635.807293","2924.154487","0.5085294801894257","0.000898","14.424261142286642","50000","204800000","0","0","1","0","0","1783630314371355853","2123.68837559211","1830","2069.3635569517","2003.325953","3000","True","5300","396.797813","0","0","0","22322.14606","True","8.6","8.6","13","13","12","0.4","0.4","2","2","4","0.35","0.7","8","14","26",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-stream-p4096-c8-rep1","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.35705400000000004","1.024747","0","1716.363506873684","6.704544948725328","29.13135813","0.294693","1.396816","8.239402","48.387058","0.4833821485209054","1.528854","0.6929114940170431","50000","204800000","10612","0","1","0","0.21224","1783627915294705767","2687.04338993919","938","2027.975557691","1.422237","7000","True","10620","0.581341","10612","0.21224","0","26131.35813","True","30.7","30.7","7.2","8","15","21.6909090909091","30.5","6.36363636363636","8","22","5.46206896551724","20.6","6","10","29",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-stream-p4096-c8-rep2","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.9919896250000002","2.428691","0","1720.8170432975203","6.721941575380939","29.055965127","0.30812","1.973924","6.763473","48.376213","0.48360844262485714","1.553843","0.7359774031130707","50000","204800000","10393","0","1","0","0.20786","1783628467096709834","2685.16456195885","999.5","2000.06662607894","0.559786","7000","True","10430","2.017451","10393","0.20786","0","26055.965127","True","27.35625","31.5","7.1875","8","16","11.2","28","4.4","8","10","9.00344827586207","20.1","6.51724137931035","12","29",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-stream-p4096-c8-rep3","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","1.91506825","2.754555","0","1697.9333501062752","6.632552148852637","29.447563414","0.369836","8.484684","17.01475","62.290792","0.48769056044517967","1.624979","2.1409825759682137","50000","204800000","10651","0","1","0","0.21302","1783629019546721903","2688.57932907586","881.7","2024.61599702089","1.510569","7000","True","11192","15.814162","10651","0.21302","0","26447.563414","True","31.3058823529412","31.4","12","12","17","14.6","36.5","4.4","8","10","2.44615384615385","15.9","3.23076923076923","10","26",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-stream-p4096-c8-rep4","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.2643575","1.389195","0","1734.5203923364295","6.775470282564178","28.826412316","0.378136","5.100205","31.557806","92.893363","0.48312770592763277","1.634976","0.8703541336731286","50000","204800000","9755","0","1","0","0.1951","1783629586481603328","2708.0631626324","1021.1","2025.98032705014","0.867381","6000","True","9789","1.948098","9755","0.1951","0","25826.412316","True","33.2235294117647","35.2","8","8","17","21.4909090909091","38.9","5.72727272727273","8","11","4.21428571428571","19","3.71428571428571","10","28",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-extra5-no256k-20260709-synthetic-recovery-stream-p4096-c8-rep5","client-streaming","synthetic","synthetic","continuous","50000","4096","8","2000","0","0","120","250","restart","transformer","3","8","8","8","0.24449450000000003","0.947469","0","1718.2981125224685","6.712102002040893","29.098559578","0.305301","1.871895","10.006358","34.297862","0.48341324087192306","1.536826","0.668564896029198","50000","204800000","10419","0","1","0","0.20838","1783630165676740522","2688.7532052677","956.9","2022.47908219656","0.724456","7000","True","10433","0.766757","10419","0.20838","0","26098.559578","True","29.4588235294118","31.6","8","8","17","16.2727272727273","35.8","4.72727272727273","8","11","7.04","11.4","6.2","9","30",,,,,"0",,,,,"0",,,,,"0","True","",""
