"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1-rep1","nats-jetstream","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","14796.721362012277","3.6124808012725285","1.351650782","517.038768","721.435044","738.020396","743.113583","0.06400446222310531","0.008158","0.6474319866252283","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","6","0.3","0.3","2","2","6",,,,,"0","1","1","10","10","6",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1-rep2","nats-jetstream","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","15746.157145427984","3.844276646833004","1.270151175","449.090529","701.790313","715.710914","724.410912","0.061429987999393164","0.007975","0.6485660979907795","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","3","3","5","0.3","0.3","2","2","5",,,,,"0","0.5","0.5","5","5","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1-rep3","nats-jetstream","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","10566.014346281752","2.5795933462601934","1.892861333","618.343797","1050.71908","1057.077451","1061.937713","0.09107426791339551","0.012375","0.8028826519217747","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.2","0.2","3","3","7","0","0","2","2","7",,,,,"0","0.3","0.3","6","6","7",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1-rep4","nats-jetstream","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","14185.98665765113","3.463375648840608","1.409842014","450.009579","667.488256","678.160005","681.031924","0.06800443917195345","0.007975","0.6483411058341901","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.2","0.2","3","3","5","0","0","2","2","5",,,,,"0","0.3","0.3","7","7","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1-rep5","nats-jetstream","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","13774.55686243309","3.3629289214924536","1.451952335","555.172128","735.155903","746.696469","756.489592","0.06962124616230436","0.007884","0.7299665351891882","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.2","0.2","3","3","5","0","0","2","2","5",,,,,"0","0.4","0.4","7","7","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c4-rep1","nats-jetstream","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","17618.14670378997","4.301305347604973","1.135193181","364.96192","604.783996","632.123965","656.72264","0.051399670333504344","0.006875","0.718482387969449","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","5","5","5","0","0","2","2","5",,,,,"0","0.8","0.8","5","5","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c4-rep2","nats-jetstream","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","16866.2128264516","4.11772774083291","1.185802658","426.869322","655.682498","683.273542","723.583712","0.05484948642431023","0.007425","0.6720677476526392","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","5","5","6","0","0","2","2","6",,,,,"0","0.5","0.5","5","5","6",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c4-rep3","nats-jetstream","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","19831.064260151285","4.841568422888497","1.008518743","410.865044","590.655678","628.658137","654.39843","0.045972577278852","0.005041","0.7469828607855674","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","4","4","5","0","0","3","3","5",,,,,"0","0.6","0.6","5","5","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c4-rep4","nats-jetstream","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","19686.528977645878","4.806281488683076","1.015923123","388.620279","564.660093","580.767954","605.575355","0.046569692134595705","0.005592","0.7495357451425946","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.3","0.3","5","5","5","0","0","2","2","5",,,,,"0","0.4","0.4","5","5","5",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c4-rep5","nats-jetstream","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","19115.977893801442","4.666986790478868","1.046245194","390.657572","577.427068","618.653172","660.984868","0.04788409835490566","0.005958","0.7392184370309542","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.7","0.7","4","4","5","0.3","0.3","3","3","5",,,,,"0","0.9","0.9","5","5","5",,,,,"0","True","",""
