"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c4-rep1","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.3957460615492","0.8978474082632316","21.753418031","0.913093","71.260983","153.234415","5653.364062","0.9464282906645267","2.255919","1.1109274539449383","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","17.7","17.7","7","7","8","5.21290322580645","16.4","6.12903225806452","10","31","3.15161290322581","10.3","4.61290322580645","11","31",,,,,"0","12.8285714285714","29","61.8571428571429","131","21",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c4-rep2","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.534657143907","1.0259127511170967","19.037924988","0.901084","40.267361","69.67579","73.316426","0.9490922224611271","2.21201","0.9740907285572861","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","24.3","24.3","7","7","8","10.33","22.1","7.15","11","20","6.42","13.9","6.05","11","20",,,,,"0","17.225","37.3","66.2","141","20",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c4-rep3","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.6525180506098","1.0260278496587987","19.035789337","0.924917","47.794758","105.327915","118.981583","0.947356641532072","2.268935","1.1210798435450615","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","25.8","25.8","7","7","7","9.88","23.8","7.4","11","20","6.08","15.2","5.6","11","20",,,,,"0","16.66","40.6","61","145","20",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c4-rep4","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.4566804684771","0.8969303520199972","21.775659566","1.008701","41.356545","78.126546","5634.963333","0.9478792642632132","2.359226","1.2699065770153064","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","22.5","22.5","7","7","9","9.35263157894737","19.3","7.36842105263158","10","19","5.87368421052632","12.4","6.26315789473684","11","19",,,,,"0","15.3789473684211","31.8","70.3684210526316","143","19",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c4-rep5","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.1606904331062","0.8976178617510803","21.758981001","0.795943","28.851554","79.665447","5626.869865","0.9492378972948644","1.952043","0.8667143508877369","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","11","21.6","7.5","10","24","6.75","13.5","6.5","11","24",,,,,"0","17.8","35","74.5","144","24",,,,,"0","False","producer","producer"
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c8-rep1","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.6294032405765","0.8980755891021255","21.747890976","1.054809","53.943488","106.929699","120.993392","0.9468947876393737","2.405885","1.195569715783662","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","21.6","21.6","8","8","9","10.6","20","10","14","20","6.2","12.4","7.5","13","20",,,,,"0","17.9","34.4","67","125","20",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c8-rep2","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.6285370619235","1.0260044307245346","19.036223836","0.949759","46.174274","89.678571","103.010305","0.9476588543427171","2.279843","1.2157815686318205","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","24.6","24.6","7","7","8","9.38","22.4","9.2","14","20","5.88","14.7","6.8","14","20",,,,,"0","15.8","38.3","65.8","154","20",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c8-rep3","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.6813822423596","0.8971497873460543","21.770333422","4.687287","78.955855","191.458341","5636.289442","0.9470801516575824","3.363069","1.6001186232240523","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","8.6","16.2","10.24","15","25","5.2","10.2","8.76","26","25",,,,,"0","15.932","31.1","89.8","206","25",,,,,"0","False","producer","producer"
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c8-rep4","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.5895439355427","0.8970601014995534","21.772509966","0.799517","47.258599","104.365781","129.609973","0.9476797966398287","1.968818","0.8213739709320282","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","22.4","22.4","8","8","9","9.46","19.8","9.6","14","20","5.67","12.6","6.95","13","20",,,,,"0","15.33","32.6","65.95","138","20",,,,,"0","True","",""
"rq1-nats-fetchwait-20260621-synthetic-continuous-nats-p1024-c8-rep5","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","918.5063067363177","0.8969788151721853","21.774483042","0.838567","65.663262","90.896821","5623.426209","0.9460106270313529","2.032985","0.8566647320618537","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True","21.8","21.8","8","8","8","8.835","18.9","9.6","14","20","5.445","12.1","6.95","13","20",,,,,"0","14.83","32.1","60.1","125","20",,,,,"0","True","",""
