"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","expected_messages_min","expected_messages_max","payload_bytes","payload_bytes_min","payload_bytes_max","concurrency","concurrency_min","concurrency_max","target_messages_per_second","target_messages_per_second_min","target_messages_per_second_max","transformer_work_iterations","transformer_work_iterations_min","transformer_work_iterations_max","sink_process_delay_ms","sink_process_delay_ms_min","sink_process_delay_ms_max","max_retry_attempts","max_retry_attempts_min","max_retry_attempts_max","retry_backoff_ms","retry_backoff_ms_min","retry_backoff_ms_max","failure_action","failure_target","failure_after_seconds","failure_after_seconds_min","failure_after_seconds_max","producer_retry_attempts","producer_retry_attempts_min","producer_retry_attempts_max","producer_stream_reconnects","producer_stream_reconnects_min","producer_stream_reconnects_max","producer_recovery_events","producer_recovery_events_min","producer_recovery_events_max","producer_avg_recovery_ms","producer_avg_recovery_ms_min","producer_avg_recovery_ms_max","producer_max_recovery_ms","producer_max_recovery_ms_min","producer_max_recovery_ms_max","unary_acknowledged_requests","unary_acknowledged_requests_min","unary_acknowledged_requests_max","throughput_messages_per_second","throughput_messages_per_second_min","throughput_messages_per_second_max","throughput_megabytes_per_second","throughput_megabytes_per_second_min","throughput_megabytes_per_second_max","duration_seconds","duration_seconds_min","duration_seconds_max","p50_latency_ms","p50_latency_ms_min","p50_latency_ms_max","p95_latency_ms","p95_latency_ms_min","p95_latency_ms_max","p99_latency_ms","p99_latency_ms_min","p99_latency_ms_max","max_latency_ms","max_latency_ms_min","max_latency_ms_max","mean_inter_arrival_ms","mean_inter_arrival_ms_min","mean_inter_arrival_ms_max","p95_inter_arrival_ms","p95_inter_arrival_ms_min","p95_inter_arrival_ms_max","inter_arrival_jitter_ms","inter_arrival_jitter_ms_min","inter_arrival_jitter_ms_max","messages_received","messages_received_min","messages_received_max","bytes_received","bytes_received_min","bytes_received_max","duplicates","duplicates_min","duplicates_max","ordering_violations","ordering_violations_min","ordering_violations_max","completion_ratio","completion_ratio_min","completion_ratio_max","lost_messages","lost_messages_min","lost_messages_max","duplicate_ratio","duplicate_ratio_min","duplicate_ratio_max","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicates_min","post_failure_duplicates_max","post_failure_duplicate_ratio","post_failure_ordering_violations","post_failure_ordering_violations_min","post_failure_ordering_violations_max","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","producer_samples_min","producer_samples_max","transformer_cpu_avg_pct","transformer_cpu_avg_pct_min","transformer_cpu_avg_pct_max","transformer_cpu_peak_pct","transformer_cpu_peak_pct_min","transformer_cpu_peak_pct_max","transformer_memory_avg_mib","transformer_memory_avg_mib_min","transformer_memory_avg_mib_max","transformer_memory_peak_mib","transformer_memory_peak_mib_min","transformer_memory_peak_mib_max","transformer_samples","transformer_samples_min","transformer_samples_max","sink_cpu_avg_pct","sink_cpu_avg_pct_min","sink_cpu_avg_pct_max","sink_cpu_peak_pct","sink_cpu_peak_pct_min","sink_cpu_peak_pct_max","sink_memory_avg_mib","sink_memory_avg_mib_min","sink_memory_avg_mib_max","sink_memory_peak_mib","sink_memory_peak_mib_min","sink_memory_peak_mib_max","sink_samples","sink_samples_min","sink_samples_max","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","rabbitmq_samples_min","rabbitmq_samples_max","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","nats_samples_min","nats_samples_max","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","kafka_samples_min","kafka_samples_max","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","39043.8382654291","39043.8382654291","39043.8382654291","38.1287483060831","38.1287483060831","38.1287483060831","0.51224472","0.51224472","0.51224472","0.96426","0.96426","0.96426","2.47329","2.47329","2.47329","20.54052","20.54052","20.54052","25.99884","25.99884","25.99884","0.0238545047252367","0.0238545047252367","0.0238545047252367","0.00063","0.00063","0.00063","0.486149286019161","0.486149286019161","0.486149286019161","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","5","5","5","0","0","0","0","0","0","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","56953.5224799682","56953.5224799682","56953.5224799682","55.618674296844","55.618674296844","55.618674296844","0.35116353","0.35116353","0.35116353","6.61689","6.61689","6.61689","67.60503","67.60503","67.60503","72.38898","72.38898","72.38898","73.17819","73.17819","73.17819","0.0129055832791644","0.0129055832791644","0.0129055832791644","0.00072","0.00072","0.00072","0.584599499996134","0.584599499996134","0.584599499996134","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","5","5","5","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c4","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","76057.7098521583","76057.7098521583","76057.7098521583","74.2751072774983","74.2751072774983","74.2751072774983","0.26295822","0.26295822","0.26295822","1.46061","1.46061","1.46061","26.34606","26.34606","26.34606","44.39034","44.39034","44.39034","45.09486","45.09486","45.09486","0.0110489479473978","0.0110489479473978","0.0110489479473978","0.00063","0.00063","0.00063","0.428817139293078","0.428817139293078","0.428817139293078","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","4","4","4","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","4","4","4","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c8","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","61184.0608668827","61184.0608668827","61184.0608668827","59.7500594403151","59.7500594403151","59.7500594403151","0.32688252","0.32688252","0.32688252","5.25357","5.25357","5.25357","29.2095","29.2095","29.2095","64.14264","64.14264","64.14264","64.26018","64.26018","64.26018","0.0120922666133311","0.0120922666133311","0.0120922666133311","0.00072","0.00072","0.00072","0.283012869117348","0.283012869117348","0.283012869117348","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","5","5","5","0","0","0","0","0","0","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p16384-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","10024.147218355","10024.147218355","10024.147218355","156.627300286797","156.627300286797","156.627300286797","1.99518219","1.99518219","1.99518219","5.2038","5.2038","5.2038","25.83963","25.83963","25.83963","34.695","34.695","34.695","52.57206","52.57206","52.57206","0.0967939626981354","0.0967939626981354","0.0967939626981354","0.00072","0.00072","0.00072","1.28843717132336","1.28843717132336","1.28843717132336","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","6","6","6","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p16384-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","11964.9709203945","11964.9709203945","11964.9709203945","186.952670631164","186.952670631164","186.952670631164","1.67154606","1.67154606","1.67154606","100.82097","100.82097","100.82097","279.82197","279.82197","279.82197","288.018","288.018","288.018","292.63797","292.63797","292.63797","0.0693199989999506","0.0693199989999506","0.0693199989999506","0.00081","0.00081","0.00081","2.13085685561047","2.13085685561047","2.13085685561047","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","6","6","6","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p16384-c4","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","10733.361197139","10733.361197139","10733.361197139","167.708768705297","167.708768705297","167.708768705297","1.8633492","1.8633492","1.8633492","12.29067","12.29067","12.29067","79.50762","79.50762","79.50762","84.00843","84.00843","84.00843","85.59036","85.59036","85.59036","0.0886612460623037","0.0886612460623037","0.0886612460623037","0.00081","0.00081","0.00081","1.99978035466822","1.99978035466822","1.99978035466822","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p16384-c8","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","10705.0116759295","10705.0116759295","10705.0116759295","167.265807436398","167.265807436398","167.265807436398","1.86828381","1.86828381","1.86828381","55.29348","55.29348","55.29348","107.46504","107.46504","107.46504","165.05838","165.05838","165.05838","170.22348","170.22348","170.22348","0.0848523681184065","0.0848523681184065","0.0848523681184065","0.00081","0.00081","0.00081","1.61484719189341","1.61484719189341","1.61484719189341","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","0.5","0.5","0.5","0.5","0.5","0.5","2","2","2","2","2","2","6","6","6","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","46757.5202691513","46757.5202691513","46757.5202691513","11.4154102219608","11.4154102219608","11.4154102219608","0.42773868","0.42773868","0.42773868","0.7434","0.7434","0.7434","1.80837","1.80837","1.80837","31.79664","31.79664","31.79664","44.27802","44.27802","44.27802","0.0197956392819645","0.0197956392819645","0.0197956392819645","0.00063","0.00063","0.00063","0.575984442388286","0.575984442388286","0.575984442388286","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.6","0.6","0.6","0.6","0.6","0.6","2","2","2","2","2","2","5","5","5","0","0","0","0","0","0","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","106707.044612348","106707.044612348","106707.044612348","26.0515245635615","26.0515245635615","26.0515245635615","0.18742905","0.18742905","0.18742905","2.46213","2.46213","2.46213","52.32357","52.32357","52.32357","71.96175","71.96175","71.96175","72.12438","72.12438","72.12438","0.00617357067853431","0.00617357067853431","0.00617357067853431","0.00072","0.00072","0.00072","0.503426357148914","0.503426357148914","0.503426357148914","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","5","5","5","0.4","0.4","0.4","0.4","0.4","0.4","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","1"
