"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","46757.52026915125","11.415410221960755","0.42773868","0.7434","1.80837","31.79664","44.27802","0.01979563928196452","0.00063","0.5759844423882858","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.6","0.6","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","97175.93610915424","23.724593776648984","0.20581227","1.39626","5.54544","28.75689","29.5209","0.00822495774788779","0.00072","0.21252277313724852","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c8-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","95778.29852438685","23.383373663180382","0.20881557","1.58787","35.63208","56.63205","56.6955","0.007103681684084597","0.00072","0.3381426896037113","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p256-c16-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","106707.04461234798","26.051524563561518","0.18742905","2.46213","52.32357","71.96175","72.12438","0.006173570678534308","0.00072","0.503426357148914","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","39043.83826542907","38.128748306083075","0.51224472","0.96426","2.47329","20.54052","25.99884","0.023854504725236706","0.00063","0.48614928601916124","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","1024","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","76057.70985215825","74.2751072774983","0.26295822","1.46061","26.34606","44.39034","45.09486","0.011048947947397761","0.00063","0.42881713929307796","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c8-rep1","batched-unary","synthetic","synthetic","bulk","20000","1024","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","61184.0608668827","59.750059440315134","0.32688252","5.25357","29.2095","64.14264","64.26018","0.012092266613331069","0.00072","0.28301286911734835","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p1024-c16-rep1","batched-unary","synthetic","synthetic","bulk","20000","1024","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","56953.52247996823","55.61867429684398","0.35116353","6.61689","67.60503","72.38898","73.17819","0.01290558327916436","0.00072","0.5845994999961336","20000","20480000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p4096-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","4096","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","23854.092625799476","93.1800493195292","0.83843055","2.16288","5.67972","24.20838","64.71207","0.037910840542027625","0.00063","0.5487786782280019","20000","81920000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-rerun-20260610-fixed-synthetic-clean-bunary-p4096-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","4096","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","36943.61893927925","144.31101148155958","0.54136548","3.51621","29.84121","62.12439","67.41576","0.02505269413470719","0.00072","0.8411311072944699","20000","81920000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
