"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"single3-final-20260504-synthetic-clean-stream-p1024-c1","client-streaming","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","0","57023.5443253115","55.687055005187","0.353911976","2.20631533333333","27.803506","62.3132106666667","63.3080423333333","0.0144305467273364","0.00461866666666667","0.603865356595888","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.466666666666667","0.466666666666667","2.33333333333333","2.33333333333333","4","0.533333333333333","0.533333333333333","2","2","4","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p1024-c16","client-streaming","synthetic","synthetic","bulk","20000","1024","16","0","0","0","0","500","","","0","0","0","0","0","0","0","52995.0962669006","51.7530236981451","0.384866050666667","54.7521203333333","111.244852","138.940986333333","170.075592666667","0.0158483710518859","0.00926533333333333","0.522627139321312","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.466666666666667","0.466666666666667","2","2","4.33333333333333","0.466666666666667","0.466666666666667","2.33333333333333","2.33333333333333","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p1024-c4","client-streaming","synthetic","synthetic","bulk","20000","1024","4","0","0","0","0","500","","","0","0","0","0","0","0","0","63978.8103574591","62.4793069897061","0.316687817","13.178043","77.1841116666667","78.6656296666667","81.0419503333333","0.0124989591646247","0.004763","0.660395423182613","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2","2","4.33333333333333","0.533333333333333","0.533333333333333","2.33333333333333","2.33333333333333","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p1024-c8","client-streaming","synthetic","synthetic","bulk","20000","1024","8","0","0","0","0","500","","","0","0","0","0","0","0","0","52618.9349636359","51.3856786754257","0.38075945","66.1599343333333","136.814290333333","158.975136666667","175.755369333333","0.0145360892544625","0.00627066666666667","0.615140394634998","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2","2","4.33333333333333","0.333333333333333","0.333333333333333","2","2","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p16384-c1","client-streaming","synthetic","synthetic","bulk","20000","16384","1","0","0","0","0","500","","","0","0","0","0","0","0","0","20151.2598510167","314.863435172136","1.2113272","2.187621","36.5785746666667","65.4707566666667","70.3062063333333","0.108029496491489","0.229845666666667","1.84779781989789","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.566666666666667","0.566666666666667","2","2","6","0.633333333333333","0.633333333333333","2","2","6","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p16384-c16","client-streaming","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","11721.6179944867","183.150281163855","1.70636199966667","160.685571","300.232298333333","348.905930333333","374.526644","0.0814820905378603","0.102638","1.54883954967794","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.533333333333333","0.533333333333333","2","2","6","0.566666666666667","0.566666666666667","2.33333333333333","2.33333333333333","6","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p16384-c4","client-streaming","synthetic","synthetic","bulk","20000","16384","4","0","0","0","0","500","","","0","0","0","0","0","0","0","12219.2935648337","190.926461950526","1.677713259","46.1407473333333","88.872562","110.984996","136.072511666667","0.0886933093654673","0.141631666666667","1.37744601212955","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.533333333333333","0.533333333333333","2","2","6","0.6","0.6","2","2","6","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p16384-c8","client-streaming","synthetic","synthetic","bulk","20000","16384","8","0","0","0","0","500","","","0","0","0","0","0","0","0","12124.5658183002","189.446340910941","1.66462978133333","134.740574333333","217.050664666667","279.945025333333","301.576824666667","0.0797271498908282","0.093292","1.71258137957205","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.366666666666667","0.366666666666667","2.33333333333333","2.33333333333333","5.66666666666667","0.333333333333333","0.333333333333333","2.33333333333333","2.33333333333333","5.66666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p256-c1","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","88356.3143135517","21.5713657992069","0.227066838666667","3.17441133333333","47.1018036666667","47.8670573333333","48.4011553333333","0.00814179415637423","0.002621","0.40752493082283","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.333333333333333","0.333333333333333","2.33333333333333","2.33333333333333","4","0.3","0.3","2","2","4","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p256-c16","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","73130.7767251742","17.8541935364195","0.274156328333333","74.375468","112.902895","116.716639","124.625775","0.00962143847192321","0.00524966666666667","0.458301919711694","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2","2","4.33333333333333","0.366666666666667","0.366666666666667","2","2","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
