"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"single3-final-20260504-synthetic-clean-stream-p256-c1-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","83758.22063902061","20.44878433569839","0.238782532","3.185274","43.034535","43.334381","43.664159","0.008172047152357127","0.002616","0.39609997092046656","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.5","0.5","3","3","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c1-rep2","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","85960.63748082105","20.986483759966077","0.232664631","2.16743","44.683844","45.465826","46.290784","0.008943437221860754","0.002516","0.4672007433549364","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.5","0.5","2","2","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c1-rep3","client-streaming","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","0","95350.08482081332","23.278829301956378","0.209753353","4.17053","53.587032","54.800965","55.248523","0.007309898094904816","0.002731","0.3592740781930862","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c4-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","99921.04788362","24.394787080961915","0.200158029","21.349327","83.724902","88.157093","90.60759","0.005831286264313345","0.002515","0.35587670654245257","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.4","0.4","2","2","4","0.6","0.6","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c4-rep2","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","83104.90875723005","20.289284364558117","0.240659671","21.016509","93.809586","97.515858","97.82363","0.0066213716185811785","0.003043","0.4592705349392949","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.5","0.5","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c4-rep3","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","80772.06038537004","19.719741305021984","0.247610373","62.815623","99.39187","146.775304","151.11236","0.009384411070553902","0.003152","0.5120891844682518","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.4","0.4","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c8-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","86597.914503992","21.14206897070117","0.230952444","36.982827","71.401855","72.451519","72.946982","0.007526665433271432","0.003455","0.47846529054519016","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.4","0.4","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c8-rep2","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","75638.05702668529","18.466322516280588","0.264417157","40.181751","85.094191","100.605812","101.886025","0.009795230061503317","0.003567","0.4595114720844522","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.6","0.6","2","2","5","0.6","0.6","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c8-rep3","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","89279.10125514276","21.796655579868837","0.224016592","43.810574","84.071418","93.171869","114.359764","0.007681552527626576","0.003676","0.7476299826457057","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.5","0.5","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c16-rep1","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","71547.5803518768","17.46767098434492","0.279534261","55.642344","114.169699","119.070771","120.177038","0.008272956597829553","0.005132","0.3976360680197082","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.6","0.6","2","2","4","0.6","0.6","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c16-rep2","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","78210.03141258986","19.09424595033932","0.255721672","71.840036","92.235508","95.065415","101.556479","0.009638811490574134","0.005887","0.5608207592788517","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.5","0.5","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-clean-stream-p256-c16-rep3","client-streaming","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","0","69634.71841105605","17.00066367457423","0.287213052","95.644024","132.303478","136.013731","152.143808","0.010952547327365936","0.00473","0.41644893183652226","20000","5120000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0.4","0.4","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
