"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"single3-final-20260504-synthetic-continuous-stream-p1024-c4","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1049.6937339138647","1.0250915370252585","19.053176516","0.282603","7.157207","10.583624","11.875225","0.9496379063953121","1.657162","0.6803925403329643","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"25.6","25.6","7","7","7","9.1","22","4","7","20","3.14","7.1","4","7","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-stream-p1024-c8","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1050.9322568878042","1.0263010321169963","19.03072236","0.286454","7.138226","13.470872","15.208476","0.9495764778738989","1.64522","0.6984283389028867","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"26.2","26.2","7","7","9","6.54761904761905","13.2","11.0952380952381","20","21","0","0","2","2","21",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-kafka-p1024-c4","kafka","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1042.545224033796","1.018110570345504","19.183820077","148.933625","326.521053","382.751842","487.300644","0.9504319573585219","0.012723","8.218341672210578","20000","20480000","5","0","1","0","0.00025",,,,,,,,"0",,"17.5","17.5","9","9","7","7.5","8.4","8.2","10","20","0","0","2","2","20",,,,,"0",,,,,"0","56.74","68.7","416.8","436","20","True","",""
"single3-final-20260504-synthetic-continuous-kafka-p1024-c8","kafka","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1033.587234921309","1.0093625341028407","19.350084177","236.403108","387.3554","486.950956","895.433906","0.9543400692653486","0.030987","7.9418913851391375","20000","20480000","11","0","1","0","0.00055",,,,,,,,"0",,"21.5","21.5","11","11","7","9.02","9.5","10.6","13","20","0.5","0.5","2","2","20",,,,,"0",,,,,"0","49.52","64.4","410.4","411","20","True","",""
"single3-final-20260504-synthetic-continuous-nats-p1024-c4","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1052.70618251695","1.028033381364209","18.998653501","0.835943","26.66619","44.904921","50.829591","0.9486562030101539","1.951029","0.8366039127441466","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"26.5","26.5","7","7","9","10.4","14.8","8.95238095238095","10","21","6.59047619047619","13.4","6.28571428571429","11","21",,,,,"0","5","5","8","8","21",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-nats-p1024-c8","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1052.0310384353088","1.0273740609719813","19.010845944","4.16114","102.250549","133.664484","172.960432","0.9440508853442608","3.072999","2.707311718028852","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"28.7","28.7","8","8","7","13.3722222222222","21.5","11.5555555555556","14","18","0.305555555555556","0.5","2","2","18",,,,,"0","17.8722222222222","33.7","34.6666666666667","75","18",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1047.8292494414143","1.0232707514076311","19.087079322","4.771786","34.06603","224.152637","261.248409","0.9491278321916181","2.885992","1.3024919514448416","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","4.34583333333333","19.5","6.83333333333333","10","24","3.20833333333333","14.7","3.25","8","24","31.9208333333333","98.5","134.5","151","24",,,,,"0",,,,,"0","False","producer","producer"
"single3-final-20260504-synthetic-continuous-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","1049.1623154099173","1.0245725736424973","19.062827273","11.469375","49.362832","100.448145","245.57928","0.9490265290764609","3.507005","2.109117080658947","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"23.8","23.8","14","14","8","5.455","12","11.6","16","20","1.66","3.2","4.7","8","20","4.845","8.4","130","130","20",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-unary-p1024-c4","unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1050.8449869997185","1.0262158076169126","19.032302811","0.375827","0.876803","2.378868","55.799754","0.9498753254162648","2.103277","1.0897314162298228","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"35.3","35.3","7","7","7","11.98","29.2","4","7","20","4","9.4","3.6","6","20",,,,,"0",,,,,"0",,,,,"0","True","",""
"single3-final-20260504-synthetic-continuous-unary-p1024-c8","unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1050.7274684361341","1.0261010433946622","19.034431478","0.384091","0.913311","2.86824","45.359205","0.9496648785439291","2.113048","0.9877293524855961","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"35.7","35.7","7","7","6","12.495","35.7","3.75","7","20","6.965","19.9","3.75","7","20",,,,,"0",,,,,"0",,,,,"0","True","",""
