"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples"
"synthetic-continuous-stream-p1024-c4","client-streaming","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","1016.7994995611801","0.992968261290215","19.669561215","0.2817","8.824658","13.404049","14.193299","0.9495032547627268","1.5884","0.6591618911949719","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"23.4","23.4","7","7","4","8.99090909090909","24.2","3.81818181818182","7","11","5.60909090909091","14.9","3.18181818181818","7","11","0.763636363636364","0.8","506.272727272727","507","11",,,,,"0",,,,,"0"
"synthetic-continuous-stream-p1024-c8","client-streaming","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","995.3542175340262","0.9720256030605725","20.09334933","0.267666","6.852725","11.332017","20828.781883","0.9497603647682388","1.554117","0.6731821753750948","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","9.30909090909091","25.6","3.18181818181818","7","11","5.63636363636364","15.5","2.81818181818182","6","11","0.663636363636364","0.7","499","499","11",,,,,"0",,,,,"0"
"synthetic-continuous-kafka-p1024-c4","kafka","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","909.6382382948495","0.888318592084814","21.986762603","193.903744","377.434857","657.174976","32372.863401","0.9453412758999457","0.009808","8.155538447623371","20000","20480000","1","0","1","0","5E-05",,,,,,,,"0",,,,,,"0","4.68181818181818","5.7","8.09090909090909","10","11","0.690909090909091","1.9","5.27272727272727","11","11","0.263636363636364","0.3","198","198","11","0.163636363636364","0.2","210","210","11","51.5181818181818","52.9","357.272727272727","405","11"
"synthetic-continuous-kafka-p1024-c8","kafka","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","901.4262032445969","0.8802990266060516","22.187063043","225.453755","1784.660082","2968.636737","32420.846794","0.951999251162511","0.0165","8.919746908006681","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","8.58181818181818","8.8","10.8181818181818","13","11","1","2.2","6.09090909090909","11","11","0.3","0.3","198","198","11","0.2","0.2","210","210","11","41.1272727272727","58.8","364.363636363636","402","11"
"synthetic-continuous-nats-p1024-c4","nats-jetstream","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.2262358961766","0.89768187099236","21.757429476","0.835818","22.744805","79.68973","30518.201644","0.9494886983849187","2.127218","0.8939704839686036","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","12.6181818181818","24.9","10.3636363636364","11","11","5.6","15.4","5.27272727272727","11","11","0.3","0.3","147","147","11","18.3727272727273","40.9","68","166","11","0.9","0.9","555","555","11"
"synthetic-continuous-nats-p1024-c8","nats-jetstream","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","919.2624143710905","0.897717201534268","21.756573191","0.848193","70.545608","92.942263","30494.159839","0.947250493124657","2.153435","0.9017659367538348","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","16.2272727272727","23.7","14.4545454545455","15","11","6.45454545454545","14.2","7","13","11","0.3","0.3","147","147","11","22.7363636363636","38.5","75.8181818181818","156","11","0.854545454545455","0.9","555","555","11"
"synthetic-continuous-rmqs-p1024-c4","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","0","917.3913549409621","0.8958899950595333","21.800946665","14.676202","80.224383","262.396958","20838.268619","0.9494409062953681","2.140416","4.935602343776647","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","4.5","12.2","6.81818181818182","10","11","2.76363636363636","7.6","3.54545454545455","8","11","16.5363636363636","36.2","1992.63636363636","2013","11",,,,,"0",,,,,"0"
"synthetic-continuous-rmqs-p1024-c8","rabbitmq-streams","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","0","914.0196926878173","0.8925973561404466","21.881366627","24.922794","262.327659","297.155403","20805.7211","0.9483565957798356","2.0372","5.389130587654445","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","4.13636363636364","11.2","10.1818181818182","14","11","2.69090909090909","7.4","3.54545454545455","8","11","13.4909090909091","35","1997.45454545455","2021","11",,,,,"0",,,,,"0"
"synthetic-continuous-unary-p1024-c4","unary","synthetic","synthetic","continuous","20000","1024","4","1000","0","0","0","500","","","0","0","0","0","0","0","20000","1049.434513983061","1.024838392561583","19.057882825","0.401409","1.6643","13.210908","59.369564","0.9498949019450929","2.117683","2.05707007117151","20000","20480000","0","0","1","0","0",,,,,,,,"0",,"35.7","35.7","7","7","5","17.8818181818182","39.1","3.72727272727273","7","11","11.1181818181818","24.1","4.27272727272727","7","11","0.690909090909091","0.8","499.545454545455","500","11",,,,,"0",,,,,"0"
"synthetic-continuous-unary-p1024-c8","unary","synthetic","synthetic","continuous","20000","1024","8","1000","0","0","0","500","","","0","0","0","0","0","0","20000","918.5822000909658","0.8970529297763338","21.772684032","0.395725","2.710675","11.995866","20823.442126","0.9497237654882719","2.150866","1.5456308674286514","20000","20480000","0","0","1","0","0",,,,,,,,"0",,,,,,"0","15.5363636363636","33.7","4.27272727272727","7","11","9.71818181818182","20.9","4.27272727272727","7","11","1.19090909090909","1.6","498.454545454545","499","11",,,,,"0",,,,,"0"
