"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples"
"topology-3worker-synthetic-clean-kafka-p4096-c8-rep1","kafka","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","8793.779253471255","34.35070020887209","2.274335007","903.102965","1788.407656","1849.898202","1903.002807","0.08979704845241825","0.019342","2.1310637434049053","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-kafka-p4096-c8-rep2","kafka","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","7190.321637251768","28.08719389551472","2.78151674","1562.039038","1930.531222","2021.793633","2109.67721","0.1127577158357854","0.012009","5.115034063853776","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-kafka-p4096-c8-rep3","kafka","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","9080.41840510388","35.47038439493703","2.202541679","582.447945","893.192332","971.234027","1097.018652","0.07704995114755707","0.016042","1.7236250569683704","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-kafka-p16384-c16-rep1","kafka","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","3665.6491767845637","57.27576838725881","5.456059496","1400.782807","2856.900927","3600.54002","4043.547665","0.23183813420302746","0.068933","6.5524984295894955","20000","327680000","8","0","1","0","0.0004",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-kafka-p16384-c16-rep2","kafka","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","3975.0268216475115","62.10979408824237","5.031412591","1122.724734","3099.807953","3414.681832","3980.621802","0.21203958352071164","0.084791","5.491557487620026","20000","327680000","14","0","1","0","0.0007",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-kafka-p16384-c16-rep3","kafka","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","3888.398598225384","60.756228097271624","5.143505609","1323.691146","2884.200359","3285.110457","3523.697508","0.22250386508992331","0.052617","6.293246903000925","20000","327680000","296","0","1","0","0.0148",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-nats-p4096-c8-rep1","nats-jetstream","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","14446.158804620056","56.43030783054709","1.384451069","608.547614","820.913256","875.722408","910.736418","0.06512406530326313","0.009075","1.3305850713183291","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-nats-p4096-c8-rep2","nats-jetstream","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","10545.582168473424","41.19368034559931","1.896528772","498.403694","1537.35355","1594.407802","1596.093644","0.08777698698315153","0.00825","2.2300199619444783","20000","81920000","897","0","1","0","0.04485",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-nats-p16384-c16-rep1","nats-jetstream","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","2773.5401497285166","43.33656483950807","7.211000714","4635.754606","6109.184631","6218.251197","6300.26381","0.29615096073158725","0.0869","8.568777117863029","20000","327680000","4168","0","1","0","0.2084",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-nats-p16384-c16-rep2","nats-jetstream","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","5705.106517385207","89.14228933414385","3.505631304","1533.404229","2374.399844","2525.063004","2792.238356","0.16500841198992208","0.038958","3.1733622495049225","20000","327680000","635","0","1","0","0.03175",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-nats-p16384-c16-rep3","nats-jetstream","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","5369.604650477985","83.90007266371852","3.724669003","1657.700204","2674.94599","2978.209227","3221.723852","0.17086557881961187","0.034925","4.138500306959609","20000","327680000","1011","0","1","0","0.05055",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p4096-c8-rep1","rabbitmq-streams","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","7576.102457733813","29.594150225522707","2.639879821","1067.076211","1285.793068","1387.217196","1455.371274","0.12513728811442917","0.00165","2.5672437948427653","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p4096-c8-rep2","rabbitmq-streams","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","7263.960881722701","28.3748471942293","2.753318792","1039.093034","1302.07371","1443.973806","1548.034176","0.12051860623034177","0.001375","2.1881250880537646","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p4096-c8-rep3","rabbitmq-streams","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","7515.264919679305","29.356503592497287","2.661250164","867.881695","1137.690621","1208.07394","1279.941984","0.11914187814393601","0.002475","2.172180277149954","20000","81920000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p16384-c16-rep1","rabbitmq-streams","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","2323.287499057541","36.30136717277408","8.608491204","3837.413469","5286.828334","5472.316482","5680.075323","0.4152580167508809","0.005684","6.925100835698529","20000","327680000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p16384-c16-rep2","rabbitmq-streams","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","2862.186032202668","44.721656753166684","6.987665992","3038.267018","3891.60323","4071.175027","4190.494323","0.3221606475324242","0.00605","4.177053766550917","20000","327680000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"topology-3worker-synthetic-clean-rmqs-p16384-c16-rep3","rabbitmq-streams","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","0","2815.7132944313585","43.995520225489976","7.102995905","3164.29232","3811.335779","3888.229995","4147.707708","0.3217644526726783","0.006417","4.199018390955316","20000","327680000","0","0","1","0","0",,,,,,,,"0",,,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
