"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicate_ratio","post_failure_ordering_violations","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles"
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c1-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","50877.55773884158","12.42127874483437","0.39310063","0.721445","1.511824","18.048021","37.756556","0.017864396369813886","0.000642","0.4549765113505233","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c1-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","49989.67763146588","12.2045111404946","0.400082596","0.654617","1.395587","24.438624","49.218718","0.01782559962997777","0.000641","0.5698762623648298","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.5","0.5","3","3","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c1-rep3","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","45520.98954619579","11.113522838426707","0.43935776","0.667634","1.015156","1.966875","49.411134","0.019869781439067535","0.000641","0.6869391755065613","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c1-rep4","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","52881.13560250375","12.910433496705018","0.378206704","0.680835","1.167695","18.252171","41.733391","0.017208871543572882","0.000641","0.5183469967187709","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.4","0.4","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c1-rep5","batched-unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","52217.87772670628","12.748505304371651","0.383010587","0.733361","1.26294","2.42431","27.954266","0.017567021851088226","0.000642","0.45159990124423915","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","5","0.6","0.6","2","2","5","74.7","74.7","140","140","5",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c4-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","100415.98073137828","24.51562029574665","0.199171485","1.149911","10.57342","23.406326","34.510791","0.007984554077705262","0.000642","0.3069685698965517","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c4-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","87773.50069212037","21.4290773174122","0.227859204","1.01653","11.119408","49.777998","50.115252","0.009352478773939504","0.000642","0.47111942564492953","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c4-rep3","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","46263.208785118724","11.294728707304376","0.432308967","4.202802","15.098901","32.091156","33.536887","0.01904395704784698","0.000733","0.27486674841919895","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c4-rep4","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","78953.05345644387","19.275647816514617","0.253315092","1.030464","3.101751","48.114918","48.44878","0.009554181559078173","0.000642","0.5080576417949536","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0","0","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c4-rep5","batched-unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","80699.8806904719","19.70211930919724","0.247831841","1.348284","6.934847","28.003951","37.047121","0.009973886894343535","0.000642","0.38218715361773997","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","2","2","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c8-rep1","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","115795.29251954942","28.27033508778062","0.172718593","1.244423","14.327863","31.066468","58.534332","0.00633867608380539","0.000642","0.416445161620109","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0","0","3","3","5","0","0","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c8-rep2","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","136297.52927403446","33.27576398291857","0.146737803","1.585802","23.30723","42.146182","42.359774","0.005335112655634217","0.000642","0.2977821286405087","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","4","0.5","0.5","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c8-rep3","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","89351.83384497534","21.81441255980843","0.223834242","2.513138","32.930305","46.653512","47.727336","0.008910849442473253","0.000733","0.407024053135021","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.5","0.5","2","2","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c8-rep4","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","115717.72242318951","28.251397075974","0.172834373","1.156602","39.972591","66.845423","67.246298","0.0057322476123821626","0.000642","0.46993714237132517","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","5","0.5","0.5","2","2","5",,,,,"0",,,,,"0",,,,,"0","True","",""
"rq1-concept5-clean-no256k-20260615-synthetic-clean-bunary-p256-c8-rep5","batched-unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","123828.88828900672","30.23166217993328","0.1615132","1.432805","23.046978","34.229639","34.916798","0.00616832151607657","0.000642","0.2479774244644965","20000","5120000","0","0","1","0","0",,,,,,,,,,"0",,"0",,"True",,,,,"0","0.4","0.4","2","2","4","0.4","0.4","2","2","4",,,,,"0",,,,,"0",,,,,"0","True","",""
