"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","expected_messages_min","expected_messages_max","payload_bytes","payload_bytes_min","payload_bytes_max","concurrency","concurrency_min","concurrency_max","target_messages_per_second","target_messages_per_second_min","target_messages_per_second_max","transformer_work_iterations","transformer_work_iterations_min","transformer_work_iterations_max","sink_process_delay_ms","sink_process_delay_ms_min","sink_process_delay_ms_max","max_retry_attempts","max_retry_attempts_min","max_retry_attempts_max","retry_backoff_ms","retry_backoff_ms_min","retry_backoff_ms_max","failure_action","failure_target","failure_after_seconds","failure_after_seconds_min","failure_after_seconds_max","producer_retry_attempts","producer_retry_attempts_min","producer_retry_attempts_max","producer_stream_reconnects","producer_stream_reconnects_min","producer_stream_reconnects_max","producer_recovery_events","producer_recovery_events_min","producer_recovery_events_max","producer_avg_recovery_ms","producer_avg_recovery_ms_min","producer_avg_recovery_ms_max","producer_max_recovery_ms","producer_max_recovery_ms_min","producer_max_recovery_ms_max","unary_acknowledged_requests","unary_acknowledged_requests_min","unary_acknowledged_requests_max","throughput_messages_per_second","throughput_messages_per_second_min","throughput_messages_per_second_max","throughput_megabytes_per_second","throughput_megabytes_per_second_min","throughput_megabytes_per_second_max","duration_seconds","duration_seconds_min","duration_seconds_max","p50_latency_ms","p50_latency_ms_min","p50_latency_ms_max","p95_latency_ms","p95_latency_ms_min","p95_latency_ms_max","p99_latency_ms","p99_latency_ms_min","p99_latency_ms_max","max_latency_ms","max_latency_ms_min","max_latency_ms_max","mean_inter_arrival_ms","mean_inter_arrival_ms_min","mean_inter_arrival_ms_max","p95_inter_arrival_ms","p95_inter_arrival_ms_min","p95_inter_arrival_ms_max","inter_arrival_jitter_ms","inter_arrival_jitter_ms_min","inter_arrival_jitter_ms_max","messages_received","messages_received_min","messages_received_max","bytes_received","bytes_received_min","bytes_received_max","duplicates","duplicates_min","duplicates_max","ordering_violations","ordering_violations_min","ordering_violations_max","completion_ratio","completion_ratio_min","completion_ratio_max","lost_messages","lost_messages_min","lost_messages_max","duplicate_ratio","duplicate_ratio_min","duplicate_ratio_max","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicates_min","post_failure_duplicates_max","post_failure_duplicate_ratio","post_failure_ordering_violations","post_failure_ordering_violations_min","post_failure_ordering_violations_max","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","producer_samples_min","producer_samples_max","transformer_cpu_avg_pct","transformer_cpu_avg_pct_min","transformer_cpu_avg_pct_max","transformer_cpu_peak_pct","transformer_cpu_peak_pct_min","transformer_cpu_peak_pct_max","transformer_memory_avg_mib","transformer_memory_avg_mib_min","transformer_memory_avg_mib_max","transformer_memory_peak_mib","transformer_memory_peak_mib_min","transformer_memory_peak_mib_max","transformer_samples","transformer_samples_min","transformer_samples_max","sink_cpu_avg_pct","sink_cpu_avg_pct_min","sink_cpu_avg_pct_max","sink_cpu_peak_pct","sink_cpu_peak_pct_min","sink_cpu_peak_pct_max","sink_memory_avg_mib","sink_memory_avg_mib_min","sink_memory_avg_mib_max","sink_memory_peak_mib","sink_memory_peak_mib_min","sink_memory_peak_mib_max","sink_samples","sink_samples_min","sink_samples_max","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","rabbitmq_samples_min","rabbitmq_samples_max","nats_cpu_avg_pct","nats_cpu_avg_pct_min","nats_cpu_avg_pct_max","nats_cpu_peak_pct","nats_cpu_peak_pct_min","nats_cpu_peak_pct_max","nats_memory_avg_mib","nats_memory_avg_mib_min","nats_memory_avg_mib_max","nats_memory_peak_mib","nats_memory_peak_mib_min","nats_memory_peak_mib_max","nats_samples","nats_samples_min","nats_samples_max","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","kafka_samples_min","kafka_samples_max","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p1024-c1","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13026.7876099508","6066.90924103134","16146.3412400438","12.7214722753426","5.92471605569467","15.7679113672303","1.535297926","1.238670712","3.296571484","523.011772","337.067276","1207.323073","793.987702","614.726353","2209.161145","834.064672","666.78673","2274.446098","841.098443","670.030358","2287.752899","0.0743230036501732","0.0581479532476558","0.161140995349767","0.009991","0.007975","0.656059","0.9185089285546","0.687065149173618","1.18014387828167","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.2","0.2","0.4","0.2","0.2","0.5","3","3","3","3","3","3","8","5","18","0","0","0.2","0","0","0.3","2","2","2","2","2","2","8","5","18","","","","","0","0","0","0.3","0.3","0.4","0.3","0.3","0.4","3","3","4","3","3","4","6","5","10","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p1024-c16","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17894.667703702","14974.3302095153","19416.9362766519","17.4752614293965","14.6233693452298","18.9618518326679","1.117651377","1.030028616","1.335619004","485.569213","450.195021","587.2905","674.659069","664.51092","839.213317","753.546174","745.55201","884.301615","829.964052","803.415992","914.688678","0.047111749187451","0.040047016850839","0.0605577812890522","0.007333","0.006875","0.008708","0.780324021346164","0.680397028139198","1.15681563440696","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","1.2","1","1.7","1.2","1","1.7","9","8","10","9","8","10","5","5","5","0","0","0","0","0","0","2","2","2","2","2","2","5","5","5","","","","","0","0","0","1.4","1.1","1.9","1.4","1.1","1.9","11","10","12","11","10","12","5","5","5","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p1024-c4","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13853.2246566976","8886.53251617905","17154.6548548245","13.5285397038063","8.6782544103311","16.7525926316645","1.443707187","1.165864319","2.250596615","619.397964","421.363268","946.791742","873.859308","627.383328","1449.182258","906.543722","652.782804","1480.322363","923.0045","689.200529","1503.092012","0.0646129397469809","0.0558982842141994","0.109095729786489","0.007883","0.0066","0.008983","0.942566509082475","0.810545354490094","1.25840688174336","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.6","0.5","0.8","0.6","0.5","0.8","5","4","5","5","4","5","6","5","8","0","0","0.5","0","0","0.5","2","2","3","2","2","3","6","5","8","","","","","0","0","0","0.7","0.6","0.8","0.7","0.6","0.8","5","5","5","5","5","5","6","5","8","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p1024-c8","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14538.1598466503","13142.3947866496","16835.1675012634","14.1974217252444","12.8343699088375","16.4405932629525","1.375689923","1.187989368","1.521792666","575.183158","503.912825","701.481671","832.714329","745.227418","1048.941663","863.294808","797.687921","1162.381075","883.324906","862.3885","1231.866565","0.060865888494415","0.0521682013600596","0.0726002613130589","0.007609","0.006875","0.008617","0.869364065159585","0.763831049392069","1.13776185173277","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.8","0.6","1","0.8","0.6","1","6","6","7","6","6","7","6","5","8","0","0","0","0","0","0","2","2","2","2","2","2","6","5","8","","","","","0","0","0","0.9","0.8","1.2","0.9","0.8","1.2","7","7","8","7","7","8","6","5","8","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p16384-c1","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4088.20215614296","2939.38952448877","4927.41616524871","63.8781586897337","45.927961320137","76.9908775820111","4.892125985","4.058922431","6.804133931","1746.484323","1159.307123","2080.259664","2397.909542","1916.017174","2817.485859","2524.071014","1971.274063","2985.048242","2557.316428","1986.623289","3012.604179","0.242270658232913","0.200296747037353","0.332379205510279","0.164726","0.154459","0.236591","1.95283860903798","1.47243929351863","3.20585095490662","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.2","0.2","1.28181818181818","0.2","0.2","12.1","3","3","4","3","3","14","10","8","21","0","0","0.672727272727273","0","0","7.4","2","2","3","2","2","13","10","8","21","","","","","0","0","0","0.4","0.3","2.17272727272727","0.4","0.3","19.9","3","3","123.909090909091","3","3","1333","10","8","11","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p16384-c16","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5219.12019736579","3457.88688696933","6110.08025808549","81.5487530838405","54.0294826088957","95.4700040325857","3.832063498","3.273279426","5.783879188","1504.84358","1400.391999","3458.789789","2510.551088","1926.177239","4290.302092","2783.339727","2049.9331","4442.901623","2967.808847","2209.541745","4570.978103","0.17785583854193","0.150873139006952","0.275653005550274","0.054267","0.039508","0.063984","2.85846223342983","1.89076026355799","4.08692205589666","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","1.2","1.1","1.75714285714286","1.2","1.1","2.1","8","7","9","8","7","9","8","7","21","0","0","0.171428571428571","0","0","0.3","2","2","2","2","2","2","8","7","21","","","","","0","0","0","1.4","1.3","1.6","1.4","1.3","1.6","11","10","13","11","10","13","8","7","9","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p16384-c4","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4787.39117402619","3541.9799172675","5932.08261740425","74.8029870941592","55.3434362073047","92.6887908969414","4.177640655","3.371497211","5.646559401","1666.027241","1269.263658","2819.844169","2323.978216","1847.139434","3322.448085","2455.682591","1979.64846","3409.213671","2463.734688","2056.164329","3437.378365","0.201973937846894","0.164818335116757","0.2767413319666","0.0671","0.045009","0.091391","2.13250513842927","1.83664764553683","3.15304495334476","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0.3","0.6","0.5","0.3","0.6","5","5","5","5","5","5","7","7","9","0","0","0","0","0","0","2","2","3","2","2","3","7","7","9","","","","","0","0","0","0.6","0.5","0.7","0.6","0.5","0.7","5","5","7","5","5","7","7","7","9","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p16384-c8","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6256.57874758393","4137.97859726489","6637.80368192465","97.7590429309988","64.6559155822639","103.715682530073","3.196635223","3.01304482","4.833277778","1380.057384","1205.869697","1973.513939","2076.844711","1707.086512","2985.363575","2144.92935","1812.058119","3440.339109","2251.759132","1929.77415","3535.194833","0.155377592329621","0.143686341717089","0.232186859542977","0.050325","0.039233","0.051975","2.04875258509406","1.84457601512709","3.11360260725583","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.8","0.6","0.8","0.8","0.6","0.8","6","6","6","6","6","6","8","8","10","0","0","0","0","0","0","2","2","2","2","2","2","8","8","10","","","","","0","0","0","0.9","0.9","1","0.9","0.9","1","7","7","9","7","7","9","8","8","10","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c1","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14185.9866576511","10566.0143462818","15746.157145428","3.46337564884061","2.57959334626019","3.844276646833","1.409842014","1.270151175","1.892861333","517.038768","449.090529","618.343797","721.435044","667.488256","1050.71908","738.020396","678.160005","1057.077451","743.113583","681.031924","1061.937713","0.0680044391719535","0.0614299879993932","0.0910742679133955","0.007975","0.007884","0.012375","0.648566097990779","0.647431986625228","0.802882651921775","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.2","0.2","0.5","0.2","0.2","0.5","3","3","3","3","3","3","5","5","7","0","0","0.3","0","0","0.3","2","2","2","2","2","2","5","5","7","","","","","0","0","0","0.4","0.3","1","0.4","0.3","1","7","5","10","7","5","10","5","5","7","","","","","0","0","0","True","","","5"
"rq1-nats-fetchwait-20260621-synthetic-clean-nats-p256-c16","nats-jetstream","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17407.438545769","10330.6804104717","19675.3072969179","4.24986292621314","2.52213877208781","4.80354182053659","1.148934115","1.016502548","1.935980904","578.226861","475.505489","782.082211","780.711335","704.229289","1135.760964","866.050494","786.965939","1221.884791","886.164649","798.045697","1302.322255","0.0426552078103786","0.0372532510625488","0.073025020351015","0.006233","0.005134","0.006967","0.803571973617577","0.671342213858091","1.13815714873522","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","1.6","1.1","2.90769230769231","1.6","1.1","4.3","8","8","12.8461538461538","8","8","36","6","5","13","0","0","0.369230769230769","0","0","1.9","2","2","5.38461538461539","2","2","24","6","5","13","","","","","0","0","0","2","1.2","3.66923076923077","2","1.2","8","11","10","30.3846153846154","11","10","127","6","5","13","","","","","0","0","0","True","","","5"
