"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","expected_messages_min","expected_messages_max","payload_bytes","payload_bytes_min","payload_bytes_max","concurrency","concurrency_min","concurrency_max","target_messages_per_second","target_messages_per_second_min","target_messages_per_second_max","transformer_work_iterations","transformer_work_iterations_min","transformer_work_iterations_max","sink_process_delay_ms","sink_process_delay_ms_min","sink_process_delay_ms_max","max_retry_attempts","max_retry_attempts_min","max_retry_attempts_max","retry_backoff_ms","retry_backoff_ms_min","retry_backoff_ms_max","failure_action","failure_target","failure_after_seconds","failure_after_seconds_min","failure_after_seconds_max","producer_retry_attempts","producer_retry_attempts_min","producer_retry_attempts_max","producer_stream_reconnects","producer_stream_reconnects_min","producer_stream_reconnects_max","producer_recovery_events","producer_recovery_events_min","producer_recovery_events_max","producer_avg_recovery_ms","producer_avg_recovery_ms_min","producer_avg_recovery_ms_max","producer_max_recovery_ms","producer_max_recovery_ms_min","producer_max_recovery_ms_max","unary_acknowledged_requests","unary_acknowledged_requests_min","unary_acknowledged_requests_max","throughput_messages_per_second","throughput_messages_per_second_min","throughput_messages_per_second_max","throughput_megabytes_per_second","throughput_megabytes_per_second_min","throughput_megabytes_per_second_max","duration_seconds","duration_seconds_min","duration_seconds_max","p50_latency_ms","p50_latency_ms_min","p50_latency_ms_max","p95_latency_ms","p95_latency_ms_min","p95_latency_ms_max","p99_latency_ms","p99_latency_ms_min","p99_latency_ms_max","max_latency_ms","max_latency_ms_min","max_latency_ms_max","mean_inter_arrival_ms","mean_inter_arrival_ms_min","mean_inter_arrival_ms_max","p95_inter_arrival_ms","p95_inter_arrival_ms_min","p95_inter_arrival_ms_max","inter_arrival_jitter_ms","inter_arrival_jitter_ms_min","inter_arrival_jitter_ms_max","messages_received","messages_received_min","messages_received_max","bytes_received","bytes_received_min","bytes_received_max","duplicates","duplicates_min","duplicates_max","ordering_violations","ordering_violations_min","ordering_violations_max","completion_ratio","completion_ratio_min","completion_ratio_max","lost_messages","lost_messages_min","lost_messages_max","duplicate_ratio","duplicate_ratio_min","duplicate_ratio_max","estimated_failure_at_unix_nano","pre_failure_throughput_msg_s","recovery_window_throughput_msg_s","post_recovery_throughput_msg_s","time_to_first_post_failure_message_ms","time_to_sustained_target_ms","sustained_target_within_run","throughput_debt_recovery_window_msg","recovery_window_p95_latency_ms","post_failure_duplicates","post_failure_duplicates_min","post_failure_duplicates_max","post_failure_duplicate_ratio","post_failure_ordering_violations","post_failure_ordering_violations_min","post_failure_ordering_violations_max","backlog_drain_ms","run_completed_within_deadline","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","producer_samples_min","producer_samples_max","transformer_cpu_avg_pct","transformer_cpu_avg_pct_min","transformer_cpu_avg_pct_max","transformer_cpu_peak_pct","transformer_cpu_peak_pct_min","transformer_cpu_peak_pct_max","transformer_memory_avg_mib","transformer_memory_avg_mib_min","transformer_memory_avg_mib_max","transformer_memory_peak_mib","transformer_memory_peak_mib_min","transformer_memory_peak_mib_max","transformer_samples","transformer_samples_min","transformer_samples_max","sink_cpu_avg_pct","sink_cpu_avg_pct_min","sink_cpu_avg_pct_max","sink_cpu_peak_pct","sink_cpu_peak_pct_min","sink_cpu_peak_pct_max","sink_memory_avg_mib","sink_memory_avg_mib_min","sink_memory_avg_mib_max","sink_memory_peak_mib","sink_memory_peak_mib_min","sink_memory_peak_mib_max","sink_samples","sink_samples_min","sink_samples_max","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","rabbitmq_samples_min","rabbitmq_samples_max","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","nats_samples_min","nats_samples_max","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","kafka_samples_min","kafka_samples_max","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p1024-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","29590.669896074","28548.2194807383","40669.9054918633","28.8971385703848","27.8791205866585","39.7167045818978","0.67588872","0.491764113","0.700569085","1.33795","0.910824","1.58957","3.593311","1.930421","6.803741","25.754507","9.146813","44.825705","34.915472","31.086553","46.906009","0.0301096169308463","0.0222407488374367","0.0313701249062473","0.00077","0.000655","0.000892","0.501983200278629","0.364762003443652","0.660491099305908","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0","0.7","0.4","0","0.7","2","2","2","2","2","2","5","5","5","0","0","0.7","0","0","0.7","2","2","3","2","2","3","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p1024-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","69538.3083637551","25611.3193344099","77016.3176166493","67.9085042614796","25.0110540375096","75.2112476725091","0.287611253","0.259685228","0.780904714","4.50905","3.215382","20.324668","58.640086","53.59472","321.091025","64.249039","56.286065","341.020213","65.608495","56.741882","341.919794","0.0102232237611877","0.00923379573978801","0.0219983353167648","0.00079","0.000753","0.000891","0.532664606000703","0.464444888674208","0.569417358543625","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.6","0","0.7","0.6","0","0.7","2","2","2","2","2","2","5","4","5","0.5","0","0.7","0.5","0","0.7","2","2","3","2","2","3","5","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p1024-c4","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","62806.3972800006","30400.3488671075","84757.2325921072","61.3343723437506","29.6878406905347","82.7707349532297","0.318438899","0.235968063","0.657887187","1.38274","1.349704","6.761633","19.215222","6.904","28.84838","54.396492","29.540782","65.819507","59.557945","29.690927","66.876878","0.0123353778688928","0.00916413860693068","0.0278038712935656","0.000752","0.000663","0.000828","0.528358429957923","0.30512458245882","0.586600860274164","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0","0.7","0.5","0","0.7","2","2","3","2","2","3","5","4","5","0.5","0","0.7","0.5","0","0.7","2","2","3","2","2","3","5","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p1024-c8","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","1024","1024","1024","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","69895.6954225735","42851.2991336558","75485.7418794194","68.257515061107","41.8469718102107","73.7165448041205","0.286140654","0.264950698","0.466730307","3.215024","2.470292","5.531258","47.637749","45.544177","58.084759","51.591183","49.987981","83.249203","54.868135","50.661897","84.164487","0.0106183793189669","0.0100257203360165","0.0176937823891171","0.000757","0.000655","0.000828","0.49587592692047","0.436960393162033","0.643607387305609","20000","20000","20000","20480000","20480000","20480000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0","0.7","0.5","0","0.7","2","2","3","2","2","3","4","4","5","0","0","0.7","0","0","0.7","2","2","2","2","2","2","4","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p16384-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","9265.43857756616","6695.16866920835","9694.94641688431","144.772477774471","104.612010456381","151.483537763817","2.15855945","2.062930432","2.9872287","5.022942","4.9064","9.849091","32.381432","29.481238","41.433528","48.584726","36.732535","50.174342","56.558491","48.313527","166.763275","0.104391408770452","0.100312410520527","0.14383033126655","0.000676","0.00066","0.00091","1.54320484879579","1.39120717466957","1.88896671569732","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0","0.7","0.4","0","0.7","2","2","2","2","2","2","6","6","7","0.4","0","0.8","0.4","0","0.8","2","2","2","2","2","2","6","6","7","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p16384-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","12353.0289120418","4479.60698909904","13284.6570127166","193.016076750653","69.9938592046725","207.572765823697","1.61903612","1.505496151","4.464677381","96.733198","94.85371","205.205938","251.993406","233.04116","977.315524","261.453745","239.67456","1198.432048","308.352741","264.407937","1280.393645","0.07046597554877","0.0615667536876763","0.193760386019271","0.000893","0.000845","0.00094","1.87880300446695","1.40034379273474","5.16108108787065","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0.7","0","0","0.7","2","2","2","2","2","2","6","5","8","0","0","0.9","0","0","0.9","2","2","2","2","2","2","6","5","8","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p16384-c4","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","12467.8160005649","8066.72801284253","12828.3636557205","194.809625008827","126.042625200665","200.443182120632","1.604130186","1.559045295","2.479319988","22.35553","10.724802","37.629737","68.412234","62.97084","96.241647","85.03506","75.95101","129.875728","86.795425","80.456714","185.096154","0.0768087393369519","0.0734054006700322","0.11814191084554","0.000802","0.000753","0.000933","1.65681452875575","1.33644678795984","2.07209917403181","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0","0.6","0.4","0","0.6","2","2","2","2","2","2","6","5","7","0.5","0","0.7","0.5","0","0.7","2","2","2","2","2","2","6","5","7","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p16384-c8","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","16384","16384","16384","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","13492.388398949","4912.45701449054","13853.3553402934","210.818568733578","76.7571408514147","216.458677192084","1.482317245","1.443693568","4.071282444","41.270692","27.93899","103.17548","94.39909","90.011409","418.756501","133.985121","98.063589","587.35266","154.009234","130.253846","623.893623","0.0682636314815719","0.064717365168265","0.192392473923684","0.000851","0.000783","0.000933","1.62841782510684","1.51763284062742","4.00112877720441","20000","20000","20000","327680000","327680000","327680000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0.6","0","0","0.6","2","2","3","2","2","3","6","5","7","0","0","0.6","0","0","0.6","2","2","2","2","2","2","6","5","7","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","51450.9186058584","34378.8799305569","55857.0405182671","12.5612594252584","8.39328123304611","13.6369727827801","0.388719979","0.358056922","0.581752519","0.718919","0.681658","1.239898","1.401376","1.107802","3.136633","24.557963","1.797232","26.45855","35.838278","31.203822","45.25532","0.017105186509325","0.0153142346117285","0.025880512725637","0.000673","0.000656","0.000827","0.411967636039899","0.370307662416386","0.583994141505023","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.5","0","0.5","0.5","0","0.5","2","2","3","2","2","3","5","5","5","0.5","0","0.5","0.5","0","0.5","2","2","2","2","2","2","5","5","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c16","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","101301.376233899","63368.1172652104","124809.978368059","24.7317813071042","15.4707317542018","30.4711861250145","0.197430684","0.160243598","0.315616131","3.524181","2.125666","7.147593","40.431533","35.053305","65.529612","49.580789","37.244926","67.742195","49.922939","37.911326","69.281232","0.00621445642282312","0.00526056467823297","0.0115408699935004","0.00076","0.000659","0.000827","0.392975001685463","0.265236697907194","0.47987816509594","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0.6","0","0","0.6","2","2","3","2","2","3","4","4","5","0.4","0.4","0.6","0.4","0.4","0.6","2","2","3","2","2","3","4","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c4","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","94231.5719206689","34365.5684771239","99646.8277272958","23.0057548634446","8.39003136648532","24.3278388006093","0.21224309","0.200708848","0.58197786","1.418231","0.86871","4.257507","4.420915","1.744213","23.284505","36.478196","31.625261","59.457762","38.00974","32.103624","63.20938","0.00783593074653735","0.0070215641282067","0.0236269828491421","0.000673","0.00066","0.000827","0.409185976521168","0.188339160193271","0.438378901498088","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0.6","0","0","0.6","2","2","3","2","2","3","5","4","5","0.5","0","0.5","0.5","0","0.5","2","2","3","2","2","3","5","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p256-c8","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","256","256","256","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","87451.0173187776","58410.8949216154","115383.122504523","21.3503460250922","14.2604723929725","28.1697076427057","0.228699455","0.173335576","0.342401876","2.361804","1.176469","4.151638","31.576243","20.885251","37.814806","47.888724","41.755487","61.963185","48.100442","41.884881","62.364449","0.00801186609330475","0.00613533481674028","0.0128424051202552","0.000675","0.000657","0.00083","0.340642984062213","0.312792570328642","0.433651827512496","20000","20000","20000","5120000","5120000","5120000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0","0","0.7","0","0","0.7","2","2","3","2","2","3","4","4","5","0.4","0","0.7","0.4","0","0.7","2","2","2","2","2","2","4","4","5","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
"rq1-extra5-no256k-20260709-synthetic-clean-bunary-p4096-c1","batched-unary","synthetic","synthetic","bulk","20000","20000","20000","4096","4096","4096","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","20000","20000","20312.5215915757","15068.9263276146","25709.8735180148","79.3457874670925","58.8629934672445","100.429193429745","0.984614338","0.777911256","1.327234573","2.200565","1.603008","3.192192","9.765907","3.526927","13.485207","35.541231","18.156725","44.813475","49.4848","39.102555","52.773867","0.0456644339716879","0.0363043505675198","0.0628645676283751","0.000752","0.000663","0.000933","0.765568953372911","0.667380547268165","0.928973654334974","20000","20000","20000","81920000","81920000","81920000","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","","","","","","","","","","0","0","0","","0","0","0","","True","","","","","0","0","0","0.4","0","0.8","0.4","0","0.8","2","2","2","2","2","2","5","5","6","0.4","0","0.8","0.4","0","0.8","2","2","2","2","2","2","5","5","6","","","","","0","0","0","","","","","0","0","0","","","","","0","0","0","True","","","5"
